Nation,Sail Number,Helm,Crew,Club,Race 1,Race 2,Points,Position
GBR,8679,Cisneros,Crispin,,4,1,5,1
GBR,8694,Williams,Edmonds,,2,3,5,2
GBR,8481,Payne,Masterman,,5,2,7,3
GBR,8291,Sims,Wood,,7,4,11,4
GBR,8306,Robinson,George,,6,6,12,5
GBR,8434,Fernley, ,,10,5,15,6
GBR,8555,Smithwhite,Fulcher,,3,12,15,7
GBR,8678,Jim Berry,Richard Berry,,9,7,16,8
GBR,8474,Thorne,Tyas,,8,8,16,9
GBR,8408,Mike Leaver, ,,11,9,20,10
GBR,8676,Robinson,Cawthorn,,1,DSQ,13,11
GBR,7911,John Donnelly, ,, , , ,12=
GBR,8464,Nicholson, ,, , , ,12=
GBR,7755,Hutson, ,, , ,,12=
