,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,Platz
GER,8875,Jens Findel,Johannes Tellen,KYC,4,9,4,5,2,1,1,,1
GER,8975,Dietrich Scheder-Bieschin,Holger Jess,NRV,1,1,3,22,7,7,5,,2
GER,8806,Lutz Stengel,Frank Feller,ROYC,5,7,1,8,3,2,6,,3
GER,8927,Christian Kellner,Hans-Heinrich Rix,HSC,9,3,6,13,4,3,3,,4
GER,8957,Boris Herrmann,Julien Kleiner,ZSK,6,6,7,6,1,6,7,,5
GER,8728,Martin Görge,Rainer Görge,TSVS,3,5,5,16,DNC,4,2,,6
GER,9011,Michael Daisenberger,Bastian Henning,DTYC,8,8,2,3,32,9,8,,7
GER,8966,Stefan Böhm,Gerald Roos,SCV,7,4,11,7,6,5,DNC,,8
GER,8901,Meike Schomäker,Wolfgang Stückl,ZSK,11,15,9,4,8,12,11,,9
GER,8956,Jan Forster,Marcus Neuß,SGaM,19,11,13,2,10,13,10,,10
GER,8721,Sophie Heyer,Sebastian Salein,JSC,20,12,8,12,27,8,9,,11
GER,8947,Volker Niedik,Michael Klügel,BSV,2,DNC,19,10,5,19,15,,12
GER,8751,Nicola Birkner,Angela Stenger,SVaW,26,19,14,1,20,20,4,,13
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,21,16,18,11,9,15,13,,14
GER,8976,Tom Gosch,Antje Gosch,ENSFV,16,18,20,9,18,16,17,,15
GER,8874,Nørbert Dasenbrook,Sven Meier,KSW,17,13,17,15,22,10,22,,16
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,13,17,12,29,DNF,14,12,,17
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,18,26,21,14,17,17,14,,18
GER,8672,Karsten Contag,Guido von Walter,SCLW,32,22,23,17,12,11,19,,19
GER,8825,Michael Troch,Eckart König,SGJ,14,10,22,28,11,25,27,,20
GER,8725,Marc Köster,Lars Kruse,BSV-AT,22,24,16,23,DNF,22,20,,21
GER,8317,Hartwig Friedrichs,Stefan Schmidt,WSCW,23,20,29,21,13,31,31,,22
GER,8686,Jan Sell,Wiebke Gewinn,TUSF,DNF,14,24,31,26,18,28,,23
GER,8625,Alex Cross,Falko Braun,SCR,24,32,28,19,25,30,16,,24
GER,8609,Alexander Holzapfel,Stefan Worm,PSVK,25,23,26,18,29,28,26,,25
GER,8580,Stefan Köchlin,Andreas Achterberg,SKF,10,2,10,25,DNC,DNC,DNC,,26
GER,8988,Wolfgang Koehnk,Christopher Opielok,NRV,31,25,31,32,19,23,18,,27
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,29,29,30,24,21,27,23,,28
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,DNC,DNC,25,26,16,24,25,,29
GER,8972,Ronald Roos,Kirsten Roos,SVWu,DNC,36,39,27,15,32,21,,30
GER,8513,Sven Dömges,Andreas Happich,ESV86,33,27,32,37,14,36,29,,31
GER,8741,Jürgen Anton,Ulf Denecke,HSC,27,21,34,39,23,38,36,,32
GER,8929,Jürgen Waldheim,Thomas Jung,PYC,15,DNF,27,35,DNC,21,33,,33
GER,8669,Benedikt Brüggemann,Maxi Mayrshofer,NRV,34,34,35,34,24,26,32,,34
GER,8619,Steve Kwee,Thorsten Spötter,HSC,30,31,37,33,31,35,24,,35
FIN,8678,Eino Laitinen,Thomas Castren,HSS,35,28,38,36,28,34,30,,36
GER,8463,Frieder Achterberg,Arne Lanatowitz,DTYC,12,DNC,15,20,DNF,DNC,DNC,,37
GER,9000,Enno Wilts,Thorge Holm,SVBB,28,30,40,43,30,39,40,,38
GER,8528,Andre Tirre,Frank Wille,YCS,38,33,41,41,DNC,37,39,,39
GER,8868,Wolfgang Seifert,Ivonne Seifert,SCLW,DNF,DNC,36,30,DNF,33,35,,40
GER,8730,Iris Anton,Birgit Hartmann,HSC,36,39,43,38,DNC,40,38,,41
GER,8933,Franziska Unkelbach,Lars Dehne,KYC,DNF,DNC,33,40,DNF,29,34,,42
GER,8550,Martha Hauschild,Franzi Manko,SCS,39,38,42,42,DNC,41,37,,43
GER,8297,Mario Tirre,Henry Stoffers,SCZ,37,35,DNC,DNC,DNC,DNC,DNC,,44
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,40,37,DNC,DNC,DNC,DNC,DNC,,45
