,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,8657,Georg Neulen,Peter Gerdts,WYCA,1,1,1,2,,1
GER,8550,Martha Hauschild,Franzi Manko,SCS,2,3,2,1,,2
GER,7946,Jens Friedrich,Oliver Ratzel,,4,2,3,3,,3
GER,8124,Fabian Kohl,Juliane Kohl,WWSC 70,3,4,4,4,,4
GER,7989,Theo Kohl,Birgit Kohl,WWSC 70,5,5,5,5,,5
