,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,9011,Michael Daisenberger,Bastian Henning,DTYC,6,10,1,1,4,,1
GER,8651,Christian Kellner,Angela Stenger,HSC,8,1,5,5,2,,2
GER,8901,Sophie Söllner,Wolfgang Stückl,CYC,1,5,7,2,5,,3
GER,8990,Frieder Achterberg,Arne Lanatowitz,DTYC,2,8,3,3,10,,4
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,11,3,2,4,15,,5
GER,8702,Martin Handel,Karsten Contag,SGK,3,9,8,6,3,,6
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,7,17,4,9,1,,7
GER,8625,Alex Cross,Falko Braun,SCR,5,2,9,13,12,,8
GER,8972,Ronald Roos,Morten Roos,SVWu,10,4,18,8,14,,9
GER,8562,Wolfgang Seifert,Ivonne Seifert,SCLW,4,13,13,DNF,7,,10
GER,8693,Florian Lautenschläger,Johannes Schmederer,DTYC,20,6,6,14,11,,11
GER,8777,Thoralf Greger,Nils Burghard,ASVG,13,12,11,10,6,,12
GER,8473,Oliver Kraft,Frank Heimburger,SSCM,9,7,10,18,13,,13
GER,8579,Peter Wackerbauer,Claudia Opitz,RSB,12,14,15,11,8,,14
GER,8658,Christina Höll,Alexander Wilhelm,HSC,16,11,12,15,16,,15
GER,8527,Hartmut Weiß,Volker Böhringer,SCLW,14,18,16,7,20,,16
GER,8861,Jochen Heydolph,Fabian Martyson,SCLW,17,15,14,17,9,,17
GER,8530,Alexander von Mertens,Joseph Kiermeier,StSC,15,DNC,17,16,17,,18
GER,8404,Sebastian Gottschalk,Maximilian Gottschalk,SCR,18,21,19,12,18,,19
GER,6610,Stefan Krumm,Uwe Krumm,SSCM,19,20,24,20,22,,20
GER,8473,Christoph Bökle,Michael Marker,SSCM,25,23,22,21,19,,21
GER,8124,Fabian Kohl,Juliane Kohl,WWSC 70,21,25,DNC,19,21,,22
GER,7989,Theo Kohl,Birgit Kohl,WWSC 70,23,19,23,24,23,,23
GER,8666,Michael Kurzeja,Julius Jacoby,BYC,22,24,20,22,25,,24
GER,8204,Ingo Schneider,Sebastian Hoering,SCLW,24,22,21,23,24,,25
