,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Sum,Platz
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,1,2,3,1
GER,9011,Florian Lautenschläger,Michael Daisenberger,DTYC,2,3,5,2
GER,8519,Johannes Berggren,Berggren Katharina,SCLW,7,1,8,3
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,4,5,9,4
GER,8868,Wolfgang Seifert,Thomas Holik,SCLW,6,4,10,5
GER,8580,Frieder Achterberg,Andreas Achterberg,DTYC,5,6,11,6
GER,8672,Karsten Contag,Guido von Walter,SCLW,8,9,17,7
GER,8155,Anna Follman,Jens Kirsch,DTYC,11,7,18,8
SUI,8544,Beat Hunziker,Yvonne Goldschmid,SCH,10,8,18,9
GER,8862,Dirk Hänsgen,Frank Rupprich,SVPB,3,2,5,10
SUI,7812,Markus Eichenberger,Beatrice Villiger,SCH,9,15,24,11
GER,8658,Christina Höll,Alexander Wilhelm,HSC,15,13,28,12
GER,6925,Catho Guillaume,Benoit Dehais,CNL,17,12,29,13
GER,8463,Mats Westholm,Thomas Fox,SCLW,19,11,30,14
GER,8518,Klaus Eifler,Jim Lindquist,SCLW,12,19,31,15
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,13,18,31,16
GER,8777,Thoralf Greger,Antje von Hoyer,ASVG,DNC 24,10,34,17
GER,8098,Albrecht Maisch,Frank Letsche,SGK,21,14,35,18
GER,8598,Anna Höll,Bernd Heinisch,,18,17,35,19
GER,8697,Wilfried Stuis,Pia Matscheroth-Brodwurm,YCN,14,22,36,20
GER,8861,Jochen Heydolph,Fabian Martyson,SCLW,20,16,36,21
GER,8482,Achim Funk,Nette Jansen,SCLW,16,23,39,22
GER,8204,Ingo Schneider,Sebastian Hoering,SCLW,22,21,43,23
