,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,8747,Martin Kittsteiner,Oliver Stieglitz,HSC,DNF,5,1,2,2,,1
GER,8989,Andreas Jungclaus,Bruno Laudage,HSC,1,2,7,9,5,,2
GER,9020,Tim Böger,Markus Schöner,HSC,OCS,1,6,4,4,,3
GER,8550,Martha Hauschild,Michael Heyder,SCS,6,4,9,4,4,,4
FIN,8632,Jari Hamstroem,Tuomas Laurila,EMK,4,8,9,1,19,,5
GER,8656,Kurt Reincke,Carsten Hehl,HSC,3,14,DNF,7,1,,6
GER,8665,Jens-Peter Schlomka,Thomas Tschentscher,TSVS,2,10,3,11,12,,7
GER,8480,Marc Köster,Christoph Köster,BSV-AT,5,9,4,9,13,,8
GER,8619,Steve Kwee,Thorsten Spötter,HSC,8,6,8,6,14,,9
GER,8741,Jürgen Anton,Ulf Denecke,HSC,12,3,13,24,7,,10
GER,8988,Wolfgang Koehnk,Christopher Opielok,NRV,9,11,5,14,10,,11
GER,8669,Jan Peckolt,Simon Zimmermann,YCL,7,12,10,12,8,,12
GER,8538,Tilo Klemt,Claas De Jong,HSC,11,16,14,13,3,,13
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,DNF,13,11,11,6,,14
GER,8528,Andre Tirre,Frank Wille,YCS,13,7,12,22,17,,15
GER,8282,Christian Lempp,Max Rauner,HSC,10,15,18,26,9,,16
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,16,OCS,23,10,15,,17
GER,8478,Walter Steding,Uwe Küntzel,HSC,15,19,DNF,16,18,,18
GER,8730,Iris Anton,Birgit Hartmann,HSC,17,18,17,17,25,,19
GER,8065,Guido Weiskopf,Tim-Jonas Juettner,SCS 78,19,20,19,15,22,,20
GER,6767,Markus Hintz,John Christiansen,HSC,18,23,21,19,16,,21
GER,9000,Enno Wilts,Jürgen Wasceszio,SVBB,20,DNF,15,23,24,,22
GER,8433,Patrick Ziegelmueller,Volker Gropp,HSC,21,25,22,20,21,,23
GER,8664,Nicholas Melzwig,Michaela Melzwig,LRV,DNF,22,20,24,20,,24
GER,8500,Matthias Fedde,Katharina Menge,OSC,DNF,21,16,25,26,,25
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,14,17,DNF,DNF,DNF,,26
GER,8051,Andreas Lucko,Jan Koop,HSC,22,24,24,27,27,,27
GER,8297,Mario Tirre,Henry Stoffers,SCZ,DNC,DNC,DNC,21,23,,28
