,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Sum,Platz
GER,8519,Robert Wisolek,Johannes Berggren,SCLW,4,1,5,1
GER,9011,Michael Daisenberger,Bastian Henning,DTYC,1,4,5,2
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,6,2,8,3
GER,8849,Moritz Bohnenberger,Max Mäge,DTYC,5,3,8,4
GER,8901,Sophie Söllner,Wolfgang Stückl,CYC,3,5,8,5
GER,8751,Nicola Birkner,Angela Stenger,SVaW,2,7,9,6
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,7,8,15,7
ITA,8916,Enrico Ciferri,Gabriele Natatli,,9,9,18,8
GER,8580,Julian Stückl,Andreas Achterberg,DTYC,15,6,21,9
GER,8807,Lukas Emrich,Jonas Vogt,SVW,8,13,21,10
GER,8702,Martin Handel,Antje von Hoyer,SGK,11,1,12,11
GER,8672,Karsten Contag,Guido von Walter,SCLW,10,12,22,12
SUI,8077,Catherine Houriet,Gilles Donze,,13,11,24,13
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,12,15,27,14
GER,8861,Jochen Heydolph,Udo Wilters,SCLW,14,14,28,15
GER,9021,Georg Geyer,Claudia Conrads,,16,17,33,16
GER,8666,Michael Kurzeja,Michael Haug,BYC,18,16,34,17
ITA,8743,Marco Giraldi,Roberto Loce,UVM,17,18,35,18
GER,8777,Nette Jansen,Francisco Sanguino,,20,19,39,19
GER,8697,Wilfried Stuis,Julius Jacoby,YCN,19,2,21,20
