,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,8875,Florian Kemper,Johannes Tellen,NRV,1,3,2,2,1,,1
GER,8728,Martin Görge,Rainer Görge,TSVS,7,1,1,7,2,,2
GER,8992,Claas Lehmann,Julien Kleiner,NRV,2,6,4,1,4,,3
GER,9020,Tim Böger,Martin Schöler,HSC,6,2,7,4,OCS,,4
GER,8989,Andreas Jungclaus,Bruno Laudage,HSC,5,4,5,8,5,,5
GER,8693,Michael Daisenberger,Benedikt Schulte,DTYC,3,5,3,9,OCS,,6
GER,8927,Hans-Heinrich Rix,Steffen Achenbach,TSVS,8,7,14,10,3,,7
GER,8947,Volker Niedik,Arne Lanatowitz,BSV,4,10,12,3,DSQ,,8
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,9,8,9,5,9,,9
GER,8665,Jens-Peter Schlomka,Urs Wihlfahrt,TSVS,25,13,8,6,8,,10
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,10,12,6,11,18,,11
GER,8619,Steve Kwee,Thorsten Spötter,HSC,11,9,11,13,10,,12
GER,8669,Benedikt Brüggemann,Maxi Mayrshofer,NRV,18,11,13,12,7,,13
GER,8772,Julia Tanner,Johannes Brack,HSC,23,14,16,17,6,,14
GER,8480,Marc Köster,Christoph Köster,BSV-AT,13,16,15,22,11,,15
GER,8458,Hans-Jürgen Rentelmann,Jens Krause,BSC,12,22,17,18,12,,16
GER,8654,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,14,15,10,OCS,21,,17
GER,8741,Jürgen Anton,Karsten Morf,HSC,17,18,20,14,15,,18
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,15,17,19,19,16,,19
GER,7035,Michael Köritz,Christina Burger,USCO,20,21,24,15,13,,20
GER,8482,Christian Lempp,Birgit Hartmann,HSC,21,20,18,16,17,,21
GER,8999,Karsten Stümpel,Florian Brix,HSC,19,24,22,20,14,,22
GER,6767,Markus Hintz,Matthias Dachs,HSC,22,19,25,23,19,,23
GER,8500,Christian Henge,Matthias Fedde,OSG,16,23,23,24,23,,24
GER,9000,Enno Wilts,Jens Kühne,SVBB,27,25,21,21,20,,25
GER,8065,Guido Weiskopf,Tim-Jonas Juettner,SCS 78,24,26,26,25,24,,26
GER,7861,Katharina Menge,Henning Ries,OSG,26,27,27,26,25,,27
GER,8051,Andreas Lucko,Jan Koop,HSC,DNC,DNC,DNC,27,22,,28
