,Boot,Steuermann,Vorschoter,Club,,,Platz
GER,8519,Robert Wisolek,Berggren Katharina,SCLW,,,1
GER,8868,Wolfgang Seifert,Ivonne Seifert,SCLW,,,2
GER,8777,Thomas Holik,Francisco Sanguino,SGR,,,3
GER,8672,Karsten Contag,Antje von Hoyer,SCLW,,,4
GER,8903,Timo Klapper,Thorsten Koch,SCLW,,,5
GER,8527,Hartmut Weiß,Volker Böhringer,SCLW,,,6
GER,8658,Christina Höll,Alexander Wilhelm,HSC,,,7
GER,8530,Alexander von Mertens,Peter Daferner,StSC,,,8
GER,9021,Georg Geyer,Claudia Conrads,,,,9
GER,8098,Albrecht Maisch,Frank Letsche,SGK,,,10
AUT,8482,C. Pirker,Achim Funk,SCLW,,,11
GER,8861,Jochen Heydolph,Udo Wilters,SCLW,,,12
GER,8598,Anna Höll,Bernd Heinisch,,,,13
GER,0,Jürgen Geiger,Tobias Ahlert,,,,14
GER,8697,Wilfried Stuis,Thomas Schrauff,YCN,,,15
GER,0,Werner Stadtherr,Christian Werstein,,,,16
GER,7275,Dirk Hütten,Stefan Buschhitter,,,,17
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,,,18
GER,8672,Nette Jansen,Guido von Walter,,,,19
