,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,8625,Alex Cross,Falko Braun,SCR,1,3,1,2,2,,1
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,3,2,6,1,1,,2
GER,8473,Oliver Kraft,Frank Heimburger,SSCM,2,5,2,4,4,,3
FRA,8484,Philippe Blanchard,Charles Maire,ACAL,4,4,4,3,3,,4
GER,8327,Dirk Frank,Stefan Kempf,SCS,6,1,3,5,6,,5
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,8,6,5,6,12,,6
GER,8124,Fabian Kohl,Juliane Kohl,WWSC 70,7,8,7,8,5,,7
GER,8424,Michael Becker,Florian Hassdenteufel,SCNS,9,7,9,7,7,,8
GER,8052,Jürgen Feuerhake,Karl-Heinz Sax,YCSb,5,10,13,10,9,,9
GER,8697,Wilfried Stuis,Anke Becker,YCN,10,11,8,13,8,,10
GER,7989,Theo Kohl,Birgit Kohl,WWSC 70,11,12,12,9,10,,11
GER,6610,Stefan Krumm,Uwe Krumm,SSCM,12,9,11,11,13,,12
GER,7978,Alexandra Wahler,Michael Kramer,,13,14,10,12,11,,13
GER,5597,Anne Nehrenberg,Hans Jürgen Nehrenberg,SCBo,14,13,15,OCS,14,,14
GER,8114,Stefan Mikola,Sandra Mikola,SC Nords,15,15,14,DNC,DNC,,15
