,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,8875,Jens Findel,Johannes Tellen,KYC,2,3,1,1,3,,1
GER,8806,Lutz Stengel,Frank Feller,ROYC,1,1,DNC,8,6,,2
GER,8728,Martin Görge,Rainer Görge,TSVS,4,9,DNC,5,1,,3
GER,8957,Wolfgang Hunger,Julien Kleiner,PYC,9,6,DNC,2,2,,4
GER,8975,Dietrich Scheder-Bieschin,Holger Jess,NRV,8,2,DNC,4,5,,5
GER,8976,Tom Gosch,Rolf Meyer,ENSFV,10,8,DNC,3,4,,6
GER,8992,Claas Lehmann,Leon Oehme,NRV,7,4,DNC,6,8,,7
GER,8721,Sophie Heyer,Sebastian Salein,JSC,6,5,DNC,9,9,,8
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,12,7,2,14,12,,9
GER,8505,Florian Duwe,Marc Helms,TSC,3,13,DNC,15,11,,10
GER,8656,Kurt Reincke,Carsten Hehl,HSC,5,12,DNC,12,13,,11
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,15,11,DNC,16,10,,12
GER,8675,Christian Müllejans,Karsten Morf,SVWu,22,22,3,11,17,,13
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,13,17,4,20,DNC,,14
GER,8758,Christian Meier-Kothe,Ole Raschdorf,KYC,16,10,DNC,13,19,,15
GER,8988,Wolfgang Koehnk,Christopher Opielok,NRV,11,14,DNC,13,19,,16
GER,8843,Nicolai Völckner,Lars Dehne,HSC,19,DNC,DNC,7,7,,17
GER,8619,Steve Kwee,Bruno Laudage,HSC,17,16,DNC,17,15,,18
GER,9000,Enno Wilts,Katharina Menge,SVBB,23,DNC,5,19,20,,19
GER,8669,Benedikt Brüggemann,Maxi Mayrshofer,NRV,18,20,DNC,18,14,,20
GER,8385,Martin Bernauer,Robert Brand,CNFT,24,15,DNC,DNC,16,,21
GER,8500,Christian Henge,Rainer Gieseler,OSG,25,23,DNC,21,21,,22
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,14,19,DNC,DNC,DNC,,23
GER,8049,Matthias Tellen,Moritz Lüther,RSC,20,21,DNC,DNC,DNC,,24
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,27,18,DNC,DNC,DNC,,25
GER,8550,Martha Hauschild,Franzi Manko,SCS,21,24,DNC,DNC,DNC,,26
GER,6685,Katja Kilian,Jens Kühne,OSG,26,DNC,DNC,DNC,DNC,,27
