,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,Platz
GER,8806,Lutz Stengel,Frank Feller,ROYC,2,2,1,1,0,7,,1
GER,8915,Stefan Köchlin,Holger Jess,SKF,1,1,3,2,3,DNC,,2
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,3,12,2,3,2,5,,3
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,5,3,5,7,5,2,,4
GER,8929,Jürgen Waldheim,Thomas Jung,PYC,4,8,4,8,4,6,,5
GER,8741,Jürgen Anton,Thomas Tschentscher,HSC,6,11,14,5,9,1,,6
GER,8619,Steve Kwee,Thorsten Spötter,HSC,10,7,7,9,6,3,,7
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,8,4,10,4,11,8,,8
GER,8669,Benedikt Brüggemann,Maxi Mayrshofer,NRV,11,6,8,11,7,4,,9
GER,8744,Lutz Kandzia,Nicholas Melzwig,ASV,9,9,9,13,10,9,,10
GER,8563,Stefan Schmidt,Horst Sjuts,SVSS,7,5,6,DNC,DNC,DNC,,11
GER,8825,Bernd Petrick,Eckart König,SVNO,13,10,11,6,DNC,DNC,,12
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,DNC,DNC,12,10,8,12,,13
GER,8730,Iris Anton,Birgit Hartmann,HSC,17,13,15,12,13,11,,14
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,14,15,16,14,15,13,,15
GER,7764,Bastian Horstmann,Jan Wiechmann,SVBB,16,14,13,15,14,DNC,,16
GER,8478,Walter Steding,Uwe Küntzel,HSC,12,DNC,DNC,DNC,12,7,,17
GER,8482,Christian Lempp,Max Rauner,HSC,15,16,17,DNC,16,10,,18
