Maa,Purjenro,Nimi,Crew,,1,2,3,4,Tot,Sija
GER,8901,Daisen,Stückl,,3,1,1,1,3,1
ITA,8916,Ciferri,Natali,,1,2,2,2,5,2
GER,8990,Achterberg,Lanatowitz,,2,3,3,3,8,3
FIN,8466,Hyysalo,Salonen,,6,4,dnc,4,14,4
ITA,8882,Loce,Binacchi,,5,7,4,6,15,5
FIN,8320,Hamström,Miettinen,,9,5,6,5,16,6
FIN,8873,Peltoniemi,Kuosa,,7,6,5,7,18,7
ITA,8743,Giraldi,Corbellini,,4,dnf,dnc,8,23,8
GER,8849,Bohnenberge,Bohringer,,8,8,7,9,23,9
GER,8697,Wilfried Stuis,Mascheroth-Brodwurm,,10,9,dnc,10,29,10
