Sailno,Name,,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Scores,No
GER,8875,Findel Jens,Tellen Johannes,KYC,3,4,1,-24,1,47,1,1,17.6,1
GER,8651,Kellner Christian,Schöler Martin,HSC,2,1,4,2,-9,4,4,5,22,2
DEN,8964,Saugmann Jan,Ramsbæk Morten,HiS,-9,5,2,5,8,1,2,4,27,3
DEN,8962,Bojsen-Moller Jorgen,Bojsen-Moller Jacob,HS,1,11,3,1,13,9,3,2,30,4
GBR,9032,Pinnell Ian,Mitchell Ian,GWSC,7,2,10,34,7,5,5,9,44,5
IRL,8961,Barry Ewen,Dwyer Charles,,6,12,7,6,4,6,6,9,44,6
GER,8992,Claas Lehmann,Leon Oehme,NRV,13,8,24,3,10,3,9,6,,7
GBR,9012,Andrew Smith,Tim Needham,,8,13,5,9,6,18,10,3,,8
USA,9002,Mike Holt,Carl Smit,,17,10,6,19,3,DNC,11,13,,9
GER,8849,Moritz Bohnenberger,Philipp Frisch,DTYC,5,24,DNC,4,5,2,7,33,,10
GBR,9006,Terry Scutcher,Christian Diebitsch,Shotley,16,17,30,18,2,8,8,14,,11
GER,8927,Ulf Pleßmann,Hans-Heinrich Rix,AYC,4,31,8,8,11,12,23,21,,12
SUI,8543,Cedric Bart,Veli Marti,CNB,12,14,17,11,23,10,22,15,,13
ITA,8916,Enrico Ciferri,Gabriele Natatli,,15,18,13,10,24,22,20,7,,14
GER,8901,Sophie Söllner,Wolfgang Stückl,CYC,27,7,DNC,17,14,7,19,16,,15
GBR,8906,Harry Briddon,Simon Briddon,,24,30,11,14,16,13,12,17,,16
GBR,8963,Martin Hodgson,Adrian Miles,,10,6,20,22,19,27,16,23,,17
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,22,36,14,16,15,15,18,20,,18
GER,8990,Frieder Achterberg,Arne Lanatowitz,DTYC,20,19,18,21,17,11,27,19,,19
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,11,33,25,20,22,21,17,11,,20
GBR,8945,Alex Barry,Adam Kenney,,33,20,9,13,27,17,14,29,,21
DEN,8958,Nikolaj Buhl,Henrik Buhl,,32,29,12,12,18,23,13,22,,22
SUI,8954,Florian Stauffer,Philippe Jacot,CVN,21,9,DNF,7,12,DNC,15,10,,23
SUI,8613,Gilles Petermann,Laurent Grob,BT/CNV,19,37,19,15,41,14,24,24,,24
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,23,16,16,30,29,24,25,25,,25
FRA,8683,Antoine Lafortune,Geraud Lafortune,CVSP,25,25,22,23,32,20,26,18,,26
FRA,8704,Xavier Broise,Bertrand Lapeyre,,14,21,23,28,25,19,32,32,,27
GER,8928,Hendrik Schultz,Claudius Zeiler,SCLW,30,28,39,27,28,32,21,12,,28
GER,8672,Karsten Contag,Guido von Walter,SCLW,31,27,35,35,30,16,33,31,,29
DEN,8828,Jon Andersen,Lasse Andresen,Reers,18,23,27,25,26,25,DNC,DNC,,30
FRA,8515,Nicolas Croce,Florian Facheux,,40,15,38,33,44,30,30,28,,31
