Maa,Purjenro,Nimi,Crew,,Race 1,Race 2,Race 3,Race 4,Sum,Tot,Sija
GER,8901,Michael Daisenberger,Wolfgang Stückl,,[3],1,1,1,6,3,1
ITA,8916,Enrico Ciferri,Gabriele Natatli,,1,[2],2,2,7,5,2
GER,8990,Frieder Achterberg,Arne Lanatowitz,,2,[3],3,3,11,8,3
FIN,8466,Sampsa Hyysalo,Antti Salonen,,6,4,[DNC 11],4,25,14,4
ITA,8882,Roberto Loce,Antonio Binacchi,,5,[7],4,6,22,15,5
FIN,8320,Jari Hamstroem,Tatu Miettinen,,[9],5,6,5,25,16,6
FIN,8873,Ari Peltoniemi,Jussi Kuosa,,[7],6,5,7,25,18,7
ITA,8743,Marco Giraldi,Paolo Corbellini,,4,[DNF 11],DNC 11,8,34,23,8
GER,8849,Pedro Bohnenberger,Volker Böhringer,,8,8,7,[9],32,23,9
GER,8697,Wilfried Stuis,Pia Matscheroth-Brodwurm,,10,9,[DNC 11],10,40,29,10
