Country,Boat no,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Position
GBR,8552,Mark Upton-Brown,Ian Mitchell,,,,,,,,11,1
GER,8670,Wolfgang Hunger,Holger Jess,,,,,,,,22,2
FRA,8402,Philippe Boite,Jean-Paul Muzellec,,,,,,,,23.4,3
DEN,8476,Jan Saugmann,Morten Ramsbeck,,,,,,,,54.4,4
SUI,8569,Rene Betschen,Phillippe Jacot,,,,,,,,74.7,5
GBR,8624,Ian Pinnell,Ian Godfrey,,,,,,,,78,6
GER,0,Roos,Linnemann,,,,,,,,79,7
GER,0,Gosh,Meyer,,,,,,,,83,8
SUI,0,De Cergeat -,Hollinge,,,,,,,,83.7,9
DAN,0,Natorp,Orsteo,,,,,,,,85.4,10
GER,0,Bohn,Roos,,,,,,,,89,11
GER,0,Rix,Achenkrach,,,,,,,,90,12
DAN,0,Bojland,Friss,,,,,,,,92.7,13
FRA,0,Doerenbecher,Doerenbecher,,,,,,,,96.7,14
GER,0,Peters,Drengenberg,,,,,,,,99,15
GER,0,Meyer,Latzsh,,,,,,,,104,16
FRA,0,Petit,Lefevre,,,,,,,,109,17
SUI,8543,Bart,Senn,,,,,,,,114,18
SUI,0,Stolz,Marti,,,,,,,,122.7,19
GER,0,Balters,Tessloff,,,,,,,,131,20
GBR,8592,Paul Lovesy,Ian Williams,,,,,,,,,21
,0,,,,,,,,,,,22
,0,,,,,,,,,,,23
,0,,,,,,,,,,,24
,0,,,,,,,,,,,25
,0,,,,,,,,,,,26
,0,,,,,,,,,,,27
,0,,,,,,,,,,,28
,0,,,,,,,,,,,29
,0,,,,,,,,,,,30
GBR,8640,Verson Ralston,Simon Spratt,,,,,,,,,31
GBR,8460,Martin Goult,Gordon Russell,,,,,,,,,32
,0,,,,,,,,,,,33
,0,,,,,,,,,,,34
,0,,,,,,,,,,,35
,0,,,,,,,,,,,36
,0,,,,,,,,,,,37
,0,,,,,,,,,,,38
,0,,,,,,,,,,,39
,0,,,,,,,,,,,40
,0,,,,,,,,,,,41
,0,,,,,,,,,,,42
,0,,,,,,,,,,,43
GBR,0,Robert Lark,Neil Fulcher,,,,,,,,,44
,0,,,,,,,,,,,45
,0,,,,,,,,,,,46
,0,,,,,,,,,,,47
,0,,,,,,,,,,,48
,0,,,,,,,,,,,49
,0,,,,,,,,,,,50
,0,,,,,,,,,,,51
,0,,,,,,,,,,,52
,0,,,,,,,,,,,53
,0,,,,,,,,,,,54
,0,,,,,,,,,,,55
GBR,8510,Martin Wedge,Simon Lake,,,,,,,,,56
,0,,,,,,,,,,,57
,0,,,,,,,,,,,58
,0,,,,,,,,,,,59
,0,,,,,,,,,,,60
,0,,,,,,,,,,,61
,0,,,,,,,,,,,62
,0,,,,,,,,,,,63
,0,,,,,,,,,,,64
,0,,,,,,,,,,,65
,0,,,,,,,,,,,66
,0,,,,,,,,,,,67
,0,,,,,,,,,,,68
,0,,,,,,,,,,,69
,0,,,,,,,,,,,70
,0,,,,,,,,,,,71
,0,,,,,,,,,,,72
,0,,,,,,,,,,,73
,0,,,,,,,,,,,74
,0,,,,,,,,,,,75
,0,,,,,,,,,,,76
,0,,,,,,,,,,,77
,0,,,,,,,,,,,78
,0,,,,,,,,,,,79
,0,,,,,,,,,,,80
,0,,,,,,,,,,,81
,0,,,,,,,,,,,82
,0,,,,,,,,,,,83
,0,,,,,,,,,,,84
