,,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,points,place
FRA,8716,Martin Aline,Charruel Adrien,Y C ILE DE FRANCE,2,5,2,1,2,1,Y C ILE DE FRANCE,8,1
FRA,8870,Silvestre Christian,Auberger Nicolas,Y C ILE DE FRANCE,1,1,4,2,4,5,Y C ILE DE FRANCE,12,2
FRA,9150,Vandrot Thibault,El Ghozi Nadia,Y C ILE DE FRANCE,6,3,3,5,1,2,C S MONTERELAIS,14,3
FRA,9050,De Kergariou Herve,De Kergariou Pierre,CN ARRADON,3,4,1,4,3,6,C N CARANTEC,15,4
FRA,8950,July-Wormit Mareva,Fernandez Julien,V G A ST MAUR VOILE,4,6,5,3,5,4,Y C ILE DE FRANCE,21,5
FRA,6722,Delagrange Marine,Delagrange Antoine,C V SEINE-PORT,5,2,6,7,6,3,C V SEINE-PORT,22,6
FRA,9086,Quemard Eric,Victor Antoine,Y C ILE DE FRANCE,7,7,7,6,7,7,LA PELLE-MARSEILLE,34,7
