#,Helm,Crew,sum,Place
POL 7669,Piotr Żółtowski,Andrzej Borowiak,,1
POL 8129,Konrad Plewa,Jerzy Plewa,,2
POL 8222,Ewa Szyfter,Kacper Kaczmarek,,3
POL 7942,Igor Graczyk,Maciej Graczyk,,4
POL 8451,Dariusz Rzadkowski,Krzysztof Rzadkowski,,5
POL 4752,Romuald Szukała,Bartosz Zimny,,6
POL 8005,Zbigniew Monkiewicz,Beata Małecka-Monkiewicz,,7
POL 7942,Wojtek Gierak,Marek Matysiewicz,,8
POL 8665,Adam Domżalski,Jakub Doruch,,9
POL 8663,Karol Tobolski,Jakub Tobolski,,10
POL 8674,Andrzej Kubiak,Marek Milewski,,11
