Nr łodzi,Sternik,załoga,Klub,W-1,W-2,W-3,W-4,W-5,W-6,W-7,W-8,W-9,Suma,No
POL7957,Jakub Pawluk,Michał Redmerski,AZS PW,1,2*,1,1,1,2*,1,1,1,7,1
POL8451,Bartosz Makała,Łukasz Skrzycki,YK Stal Gdynia,2,3*,3,2,2,1,4*,3,2,15,2
POL8416,Tymon Sadowski,Piotr Juckiewicz,YK Stal Gdynia,3*,1,2,3,3,3,2,2,DSQ*,16,3
POL7037,Łukasz Paszko,Jarosław Paszko,UKS Tczew,4*,4*,4,4,4,4,3,4,3,26,4
POL7038,Konrad Plewa,Jerzy Plewa,,5*,5*,5,5,5,5,5,5,4,34,5
