Nation,Boat no,Helm,crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,total,place
USA,0,Howard Hamlin,Mike Martin,,2,1,3,1,1,2,1,1,9,1
USA,7771,Andy Beeckman,Don Smith,,1,3,2,3,2,1,5,4,16,2
USA,8680,Bruce Edwards,Dave Shelton,,4,4,1,4,3,3,2,2,19,3
CAN,8681,Robin Brown,Rich Mundell,,3,2,4,2,5,4,4,5,24,4
USA,7201,Dan Thompson,Graham Shelter,,5,5,5,5,5,4,3,3,30,5
USA,6983,Wendy Herzburg,Eric Willis,,7,6,6,6,6,6,7,7,44,6
