Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
USA,8548,Peter,,,1,2,2,2,2,9,1
USA,7771,Paul S.,,,2,1,1,3,3,10,2
USA,6203,Allan,,,4,3,3,4,1,15,3
USA,8559,Heidi Von Grey,Paul Von Grey,,3,4,4,1,4,16,4
USA,6171,Chris,,,7,5,5,6,5,28,5
USA,6627,Karl,,,6,6,6,5,6,29,6
USA,5379,Tim,Jason,,5,DNF,DNS,DNS,DNS,32,7
