Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8721,"Erik Heil","Sebastian Salein",TSC,8,2,1,2,1,14,,1
GER,8806,"Lutz Stengel","Frank Feller",ROYC,1,1,2,3,3,10,,2
GER,8466,"Volker Niedik","Stefan Heising",BSV,3,4,3,1,"DNC 24",35,,3
GER,8940,"Martin Kittsteiner","Oliver Stieglitz",HSC,2,3,8,4,4,21,,4
GER,8956,"Andreas Jungclaus","Axel Priegann",HSC,7,5,6,5,2,25,,5
GER,8599,"Florian Duwe","Marc Helms",TSC,6,8,4,7,5,30,,6
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,5,6,5,6,"OCS 24",46,,7
GER,8720,"Lennart Tasche","Frederik Tasche",WSVG09,9,9,7,10,11,46,,8
GER,8625,"Alex Cross","Peter Hobusch",SCR,12,10,19,8,10,59,,9
GER,8533,"Roger Bussenius","Robert Bussenius",SCOH,17,16,10,9,7,59,,10
GER,6817,"Ralf Schneidewind","Peter Tefert",KSC,16,13,12,11,9,61,,11
GER,8843,"Franziska Unkelbach","Lars Dehne",KYC,4,7,11,"DNF 24","DNC 24",70,,12
GER,8538,"Markus Conrad","Claas de Jong",SCNW,15,12,13,15,6,61,,13
GER,8392,"Konrad Barop","Justus Rauno",RSV,21,18,9,13,8,69,,14
GER,8744,"Lutz Kandzia","Thorsten Pieper",ASV,13,11,15,12,12,63,,15
GER,8282,"Christian Lempp","Max Rauner",HSC,14,14,14,19,14,75,,16
GER,7443,"Jan Rindermann","Henty Koethe","SC RHE",10,19,18,16,13,76,,17
GER,8370,"Karsten Stümpel","Ute Stümpel",HSC,11,15,17,17,16,76,,18
GER,7732,"Iris Anton","Birgit Hartmann",HSC,18,20,21,14,17,90,,19
GER,8098,"Nicholas Melzwig","Michaela Melzwig",LRV,20,17,16,18,18,89,,20
GER,8550,"Martha Hauschild","Franzi Manko",SCS,19,21,"DNC 24",21,15,100,,21
GER,8049,"Matthias Tellen","Moritz Lüther",RSC,"DNC 24","DNC 24","DNC 24",20,19,111,,22
GER,8730,"Enno Wilts","Thorge Holm",SVBB,22,22,20,"DNC 24","DNC 24",112,,23
