Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8693,"Michael Daisenberger","Florian Lautenschläger",DTYC,1,1,1,4,3,10,,1
GER,8903,"Stephan Schweiger","Thorsten Koch",SCLW,2,2,"DNC 14",3,1,22,,2
GER,8672,"Karsten Contag","Guido von Walter",SCLW,4,4,3,1,2,14,,3
GER,8928,"Hendrik Schultz","Ute Oberländer",SCLW,3,3,2,2,4,14,,4
GER,8531,"Jonas Nissen","Benedikt Schulte",DTYC,5,5,4,7,7,28,,5
GER,8658,"Christina Höll","Alexander Wilhelm",HSC,6,6,5,6,6,29,,6
GER,8670,"Gerhard Engel","Renita Engel",YCSB,8,8,6,5,5,32,,7
GER,8388,"Peter Wolffram","Stephan Ottenschläger",,9,7,7,11,8,42,,8
GER,8530,"Alexander von Mertens","Antje von Hoyer",StSC,7,9,9,9,11,45,,9
GER,7921,"Jochen Heydolph","Udo Wilters",SCLW,10,"DNC 14",8,8,9,49,,10
GER,7547,"Jana Weißbach","Jens Friedrich",,11,10,"DNC 14",12,10,57,,11
GER,8697,"Wilfried Stuis","Jörg Pflugbeil",YCN,12,11,10,10,12,55,,12
GER,8590,"Jürgen Ziegler","Matthias Pfister",SCLW,"DNF 14","DNC 14","DNC 14",13,13,68,,13
