,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,sum,Platz
GER,8957,Wolfgang Hunger,Julien Kleiner,PYC,1,1,1,3,1
GER,8875,Jens Findel,Johannes Tellen,KYC,2,2,3,7,2
DEN,8923,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,3,5,2,10,3
GER,8728,Florian Kemper,Rainer Görge,NRV,5,7,5,17,4
GER,8958,Stefan Köchlin,Axel Priegann,SKF,4,6,8,18,5
GER,8956,Jan Forster,Marcus Neuß,SGaM,7,4,9,20,6
GER,8927,Martin Görge,Hans-Heinrich Rix,TSVS,15,3,6,24,7
DEN,8849,Per Larsen,Henrik Andersen,Farum,13,9,4,26,8
GER,8919,Tom Gosch,Antje Gosch,ENSFV,8,11,7,26,9
IRL,8961,Charles Dwyer,Ewen Barry,,6,13,10,29,10
GER,8901,Lena Stückl,Wolfgang Stückl,DTYC,9,8,17,34,11
GER,8725,Markus Maisenbacher,Lars Kruse,WVH,12,12,11,35,12
GER,8669,Tim Böger,Urs Whilfahrt,HSC,10,15,13,38,13
IRL,8542,Ronan Kennially,John Gorman,,14,10,16,40,14
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,17,14,15,46,15
GER,8721,Malte Christophersen,Sebastian Salein,KAR,11,25,12,48,16
GER,8758,Christian Meier-Kothe,Ole Raschdorf,KYC,16,16,18,50,17
GER,8550,Martha Hauschild,Michael Heyder,SCS,20,18,14,52,18
GER,8563,Stefan Schmidt,Jens Lücke,SVSS,18,17,21,56,19
FIN,8632,Jari Hamstroem,Tuomas Laurila,EMK,19,20,19,58,20
GER,8720,Georg Neulen,Frederik Tasche,WYCA,21,19,20,60,21
GER,8437,Sebastian Schröder,Carl Uwe Böttner,WSV1921,23,22,22,67,22
GER,8772,Julia Tanner,Lukas Tanner,HSC,22,21,25,68,23
GER,8730,Enno Wilts,Jan Wiechmann,SVBB,25,23,25,73,24
