,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,sum,Platz
GER,8693,Michael Daisenberger,Florian Lautenschläger,DTYC,1,1,2,4,1
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,8,2,1,11,2
GER,8901,Thomas Klug,Wolfgang Stückl,BYC,6,3,3,12,3
GER,8463,Frieder Achterberg,Arne Lanatowitz,DTYC,4,5,4,13,4
GER,8672,Karsten Contag,Hartmut Weiß,SCLW,9,4,5,18,5
GER,8663,Benjamin Grosskurth,Johannes Schmederer,SCLW,3,7,9,19,6
GER,8658,Christina Höll,Alexander Wilhelm,HSC,2,10,8,20,7
GER,8580,Verena Achterberg,Andreas Achterberg,DTYC,5,8,7,20,8
GER,8562,Wolfgang Seifert,Fabian Martyson,SCLW,7,9,6,22,9
GER,8861,Hans-Otto Frisch,Jochen Heydolph,SCLW,10,6,11,27,10
GER,8388,Peter Wolffram,Stephan Ottenschläger,,11,12,10,33,11
GER,8697,Wilfried Stuis,Lukas Tanner,YCN,12,11,12,35,12
GER,8666,Michael Kurzeja,Julius Jacoby,BYC,14,13,13,40,13
GER,8204,Ingo Schneider,Sebastian Hoering,SCLW,13,DNC 15,14,42,14
