,Boot,Steuermann,Vorschoter,Club,Platzierungen,Punkte,,,,,,,,,,,,Platz
GER,8875,Jens Findel,Andreas Achterberg,KYC,3,7,1,1,2,12,7,1,2,6,8,17,,1
GER,8806,Lutz Stengel,Frank Feller,ROYC,1,17,DNF,4,1,9,5,3,4,2,4,5,,2
GER,8651,Christian Kellner,Martin Schöler,HSC,5,1,4,3,10,4,8,12,6,1,11,2,,3
GER,8927,Martin Görge,Torsten Haverland,TSVS,2,4,5,18,8,3,4,13,14,8,3,1,,4
GER,8901,Marek Chocian,Wolfgang Stückl,DTYC,4,5,6,9,11,2,19,5,27,4,1,11,,5
GER,8721,Malte Christophersen,Sebastian Salein,KAR,10,3,11,2,4,8,10,8,1,5,34,10,,6
GER,8966,Stefan Böhm,Gerald Roos,SCV,9,2,2,26,15,17,9,27,3,7,2,7,,7
GER,8728,Meike Schomäker,Rainer Görge,ZSK,7,19,9,8,18,1,6,7,5,15,12,6,,8
GER,8807,Claas Lehmann,Leon Oehme,NRV,17,8,8,6,9,13,3,21,9,13,6,35,,9
GER,8751,Nicola Birkner,Angela Stenger,SVaW,8,25,18,16,22,11,12,6,8,10,5,3,,10
GER,8693,Michael Daisenberger,Florian Lautenschläger,DTYC,11,9,DNF,22,6,10,1,9,10,11,19,16,,11
GER,8919,Tom Gosch,Antje Gosch,ENSFV,12,18,14,7,19,6,15,10,7,24,7,12,,12
GER,8965,Hasso Plattner,Peter Alarie,KYC,DSQ,11,10,14,3,14,16,11,12,12,15,26,,13
GER,8956,Jan Forster,Marcus Neuß,SGaM,15,13,16,25,7,272,4,20,3,21,19,0,,14
GER,8932,Dirk Filimonow,Lars Stöckmann,BSV,6,6,17,11,12,15,17,14,24,9,17,20,,15
GER,8669,Tim Böger,Markus Schöner,HSC,16,10,3,20,24,20,11,2,15,21,9,25,,16
GER,8599,Florian Duwe,Marc Helms,TSC,27,26,12,5,16,5,24,16,13,29,28,4,,17
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,14,12,13,13,13,16,28,18,26,18,24,21,,18
GER,8608,Bernd Rasenack,Hannes Lehning,ZSK,20,24,24,23,14,7,13,19,17,27,14,28,,19
GER,8843,Franziska Unkelbach,Lars Dehne,KYC,24,16,15,17,21,19,21,15,22,26,27,14,,20
GER,8874,Norbert Dasenbrook,Sven Meier,KSW,13,21,19,31,17,18,20,22,16,20,23,22,,21
GER,8775,Alexander Holzapfel,Carsten Engel,PSVK,18,22,23,10,5,23,14,26,25,25,25,27,,22
GER,8758,Christian Meier-Kothe,Ole Raschdorf,KYC,23,23,32,21,38,22,18,20,11,14,18,29,,23
GER,8725,Markus Maisenbacher,Lars Kruse,WVH,22,1,1,29,20,21,30,30,21,16,20,9,,24
GER,8563,Stefan Schmidt,Jens Lücke,SVSS,22,20,20,12,30,24,25,33,18,19,13,32,,25
FIN,8632,Jari Hamstroem,Tuomas Laurila,EMK,21,27,7,15,31,29,26,28,23,37,10,23,,26
GER,8929,Jürgen Waldheim,Martin Maal,PYC,19,14,21,33,28,32,33,24,19,32,16,18,,27
GER,6816,Andreas Jungclaus,Bruno Laudage,HSC,31,29,27,19,36,33,29,31,28,34,29,13,,28
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,26,15,22,28,29,25,31,DNC,DNC,33,31,36,,29
GER,8480,Marc Köster,Christoph Köster,BSV-AT,38,28,30,35,25,28,23,23,33,23,33,31,,30
GER,8862,Dirk Hänsgen,Frank Rupprich,SVPB,RAF,33,25,39,34,31,27,17,30,30,30,39,,31
GER,8562,Wolfgang Seifert,Ivonne Seifert,SCLW,29,32,DNF,27,27,26,34,DNF,DNC,22,26,38,,32
GER,8466,Volker Niedik,Stefan Heising,BSV,DNC,DNC,DNC,24,23,DNC,DNF,DNC,DNC,17,22,8,,33
GER,8550,Martha Hauschild,Michael Heyder,SCS,28,35,28,34,33,30,35,32,31,31,39,30,,34
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,30,38,DNF,30,40,34,36,36,32,28,37,15,,35
GER,8513,Sven Dömges,Andreas Happich,ESV86,25,36,29,37,35,37,32,29,29,36,38,33,,36
POL,8358,Marcin Józefowski,Jacek Barankiewicz,,36,30,26,32,26,DNF,DNC,37,35,35,32,40,,37
GER,8744,Lutz Kandzia,Thorsten Pieper,ASV,32,DNF,31,41,32,39,37,25,34,40,36,34,,38
GER,8730,Enno Wilts,Jan Wiechmann,SVBB,33,34,34,40,39,35,39,35,DNF,38,35,37,,39
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,37,DNF,DNC,36,37,38,34,36,41,40,24,0,,40
GER,8519,Robert Wisolek,Dave Farmer,SCLW,35,31,33,DNC,DNC,DNC,22,DNF,DNC,DNC,DNC,DNC,,41
GER,8370,Karsten Stümpel,Ute Stümpel,HSC,24,37,DNF,38,41,36,40,38,DNF,39,41,DNC,,42
