,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,8651,Christian Kellner,Andreas Achterberg,HSC,1,1,1,6,1,,1
GER,8463,Frieder Achterberg,Arne Lanatowitz,DTYC,7,3,3,4,2,,2
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,3,4,DNC,1,9,,3
GER,8751,Nicola Birkner,Angela Stenger,SVaW,DNF,6,6,2,4,,4
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,9,13,4,3,3,,5
GER,8625,Alex Cross,Falko Braun,SCR,4,7,6,5,6,,6
GER,8672,Karsten Contag,Guido von Walter,SCLW,6,5,5,11,7,,7
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,2,2,DNF,DSQ,5,,8
GER,8642,Thoralf Greger,Christoph Klein,ASVG,8,10,2,7,11,,9
GER,8562,Wolfgang Seifert,Ivonne Seifert,SCLW,10,8,DNC,10,8,,10
GER,8658,Christina Höll,Alexander Wilhelm,HSC,12,12,8,8,12,,11
GER,8519,Robert Wisolek,Dave Farmer,SCLW,5,9,DNC,9,DNC,,12
GER,8388,Peter Wolffram,Stephan Ottenschläger,,13,11,DNC,13,10,,13
GER,7989,Theo Kohl,Birgit Kohl,WWSC 70,14,DNF,DNC,14,13,,14
GER,8666,Michael Kurzeja,Julius Jacoby,BYC,DNC,14,DNC,15,14,,15
GER,8861,Hans-Otto Frisch,Jochen Heydolph,SCLW,11,DNF,DNC,DNC,DNC,,16
GER,8598,Katinka Haslinger,Udo Wilters,MRSV,DNF,DNC,DNC,12,DNC,,17
