Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Brutto,Netto,Place
GER,8957,Wolfgang Hunger,Julien Kleiner,PYC,2,1,2,2,13,1,1,1,23,,1
GER,8875,Jens Findel,Johannes Tellen,KYC,1,7,9,15,1,3,2,2,40,,2
FRA,8902,Philippe Boite,Fabrice Toupet,CVM,5,11,3,13,5,4,4,3,48,,3
DEN,8964,Jan Saugmann,Morten Ramsbæk,HiS,DNC 53,13,1,17,2,2,5,4,97,,4
GER,8728,Meike Schomäker,Rainer Görge,ZSK,DNC 53,3,4,1,19,10,7,17,114,,5
GER,8651,Christian Kellner,Martin Schöler,HSC,DNC 53,DNC 53,6,4,4,7,14,7,148,,6
GER,8927,Martin Görge,Hans-Heinrich Rix,TSVS,3,20,10,6,38,5,10,10,102,,7
GER,8965,Hasso Plattner,Peter Alarie,KYC,7,6,26,16,9,8,3,24,99,,8
GER,8901,Sophie Söllner,Wolfgang Stückl,CYC,12,12,7,5,11,26,17,5,95,,9
GER,8669,Tim Böger,Markus Schöner,HSC,DNC 53,5,5,24,27,12,6,12,144,,10
GER,8919,Tom Gosch,Douglas McKeige,ENSFV,8,17,DNC 53,8,23,9,11,13,142,,11
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,9,10,DNC 53,11,18,16,16,8,141,,12
GER,8807,Claas Lehmann,Leon Oehme,NRV,DNC 53,DNC 53,14,3,12,22,13,11,181,,13
AUS,8920,Michael Quirk,Simon Reffold,MHYC,4,4,30,37,DNC 53,6,23,9,166,,14
GER,8958,Stefan Köchlin,Axel Priegann,SKF,DNC 53,19,24,7,17,11,9,15,155,,15
FRA,7771,Bertrand Loyal,Xavier Detappe,,6,25,11,27,37,15,8,16,145,,16
GER,8775,Alexander Holzapfel,Carsten Engel,PSVK,13,18,21,14,3,13,32,28,142,,17
GER,8874,Nørbert Dasenbrook,Sven Meier,KSW,15,21,31,18,10,27,25,18,165,,18
GER,8725,Markus Maisenbacher,Lars Kruse,WVH,DNC 53,15,16,29,6,14,12,53,198,,19
FRA,8948,Pierre-Jean Gallo,Benjamin Thomas,CNE,DNC 53,DNC 53,28,23,8,18,40,6,229,,20
GER,8825,Michael Troch,Eckart König,SGJ,22,26,25,42,35,17,15,22,204,,21
FIN,8632,Jari Hamstroem,Tuomas Laurila,EMK,19,19,27,26,32,24,18,23,188,,22
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,14,27,15,28,28,DNC 53,19,27,211,,23
DEN,8849,Per Larsen,Henrik Andersen,Farum,DNC 53,16,17,33,24,25,38,21,227,,24
GER,8657,Georg Neulen,Oliver Schürmann,WYCA,21,30,33,38,7,28,34,20,211,,25
GER,8932,Dirk Filimonow,Lars Stöckmann,BSV,27,14,19,12,16,DNC 53,DNC 53,DNC 53,247,,26
GER,8843,Franziska Unkelbach,Lars Dehne,KYC,29,35,32,22,30,23,20,19,210,,27
GER,8721,Malte Christophersen,Sebastian Salein,KAR,28,13,12,25,15,DNC 53,DNC 53,DNC 53,252,,28
GER,8788,Karsten Lahrs,Peter Gerdts,HYC,DNC 53,28,20,21,34,20,33,25,234,,29
GER,8625,Alex Cross,Falko Braun,SCR,25,29,18,35,20,DNC 53,30,29,239,,30
GER,8522,Thomas Wieting,Hannes Lehning,WVH,22,33,23,39,21,31,24,32,225,,31
DEN,8828,Jan Andresen,Lasse B. Andersen,,DNC 53,DNC 53,DNC 53,9,29,14,23,26,260,,32
GER,8662,Jan Stölken,Matthias Brühl,SCU,23,20,29,30,DNC 53,29,32,DNC 53,269,,33
GER,8758,Christian Meier-Kothe,Ole Raschdorf,KYC,35,23,24,31,DNC 53,19,37,33,255,,34
GER,8579,Hans-Jürgen Rentelmann,Peter Wackerbauer,BSC,28,33,34,34,14,35,36,DNC 53,267,,35
GER,8483,Melanie Horstmann,Cornelia Dreier,HSC,26,31,DNC 53,32,DNC 53,30,28,31,284,,36
GER,8458,Helmut Madeheim,Jens Krause,PBYC,27,32,DNC 53,40,22,33,42,36,285,,37
GER,8433,Jürgen Anton,Ulf Denecke,HSC,29,34,40,43,26,32,48,35,287,,38
GER,8563,Stefan Schmidt,Jens Lücke,SVSS,DNC 53,DNC 53,DNC 53,36,36,21,22,30,304,,39
GER,8750,Gunter Peters,Steffen Achenbach,,21,DNC 53,30,19,42,DNC 53,DNC 53,DNC 53,324,,40
GER,8772,Julia Tanner,Lukas Tanner,HSC,32,40,35,49,DNC 53,DNC 53,35,34,331,,41
GER,8500,Christian Henge,Matthias Fedde,OSG,DNC 53,36,39,41,DNC 53,34,39,39,334,,42
GER,8466,Volker Niedik,Stefan Heising,BSV,DNC 53,DNC 53,22,20,25,DNC 53,DNC 53,DNC 53,332,,43
GER,8392,Konrad Barop,Justus Rauno,RSV,31,35,37,47,DNC 53,DNC 53,40,40,336,,44
GER,7861,Katharina Menge,Henning Ries,OSG,33,39,41,51,40,37,43,42,326,,45
GER,6817,Ralf Schneidewind,Peter Tefert,KSC,35,41,38,46,41,47,42,37,327,,46
GER,8956,Jan Forster,Marcus Neuß,SGaM,31,DNC 53,DNC 53,10,33,DNC 53,DNC 53,DNC 53,339,,47
GER,8437,Sebastian Schröder,Daniel Fürl,WSV1921,34,42,42,DNC 53,39,DNC 53,44,41,348,,48
GER,7443,Jan Rindermann,Henty Koethe,SC RHE,30,37,36,44,DNC 53,DNC 53,DNC 53,DNC 53,359,,49
GER,7732,Iris Anton,Birgit Hartmann,HSC,DNC 53,DNC 53,DNC 53,45,DNC 53,DNC 53,41,38,389,,50
GER,8730,Enno Wilts,Andreas Linke,SVBB,DNC 53,38,DNC 53,50,DNC 53,DNC 53,DNC 53,DNC 53,406,,51
GER,8450,Jürgen Feuerhake,Lena Klose,YCSb,DNC 53,DNC 53,DNC 53,48,DNC 53,DNC 53,45,DNC 53,411,,52
