Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7",Brutto,Netto,Place
GER,8530,"Alexander von Mertens","Frank Heimburger",StSC,4,1,1,1,1,3,1,12,,1
GER,8327,"Dirk Frank","Stefan Kempf",SCS,1,2,2,2,5,1,3,16,,2
GER,8670,"Gerhard Engel","Renita Engel",YCSB,3,3,4,3,3,2,2,20,,3
GER,8450,"Jürgen Feuerhake","Alexandra Riotte",YCSb,2,4,3,4,2,4,4,23,,4
GER,8424,"Claus-Michael Lehr","Christine Schaal-Lehr",SCNS,5,6,5,6,4,5,6,37,,5
GER,8697,"Wilfried Stuis","Florian Hassdenteufel",YCN,6,5,6,5,"DNC 13",8,5,48,,6
GER,6472,"Michael Becker","Manfred Wruck",SCNS,8,11,7,8,"DNC 13",8,5,60,,7
GER,7989,"Theo Kohl","Birgit Kohl","WWSC 70",9,8,9,9,6,7,10,58,,8
GER,5597,"Anne Nehrenberg","Lena Klose",SCBo,7,9,10,7,7,11,8,59,,9
GER,8124,"Fabian Kohl","Juliane Kohl","WWSC 70",10,10,8,10,"DNC 13",6,9,66,,10
GER,5597,"Eike Bornemann","Jens Bornemann",SYR,11,12,11,11,"DNC 13",10,11,79,,11
GER,8874,"Detlef Nill","Moritz Nill",YCSB,"DNF 13",7,"DNC 13","DNF 13","DNF 13","DNF 13","DNF 13",85,,12
