Country,Boat Number,Helm,Crew,Club,Race 1,Brutto,Netto,Place
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,1,1,1,1
GER,8901,Sophie Söllner,Wolfgang Stückl,CYC,2,2,2,2
GER,8651,Christian Kellner,Andreas Achterberg,HSC,3,3,3,3
GER,8519,Robert Wisolek,Johannes Berggren,SCLW,4,4,4,4
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,5,5,5,5
GER,8672,Karsten Contag,Guido von Walter,SCLW,6,6,6,6
GER,8579,Peter Wackerbauer,Martin Handel,RSB,7,7,7,7
GER,8463,Frieder Achterberg,Arne Lanatowitz,DTYC,8,8,8,8
GER,8658,Christina Höll,Alexander Wilhelm,HSC,9,9,9,9
GER,7970,Mats Westholm,Pedro Bohnenberger,SCLW,10,10,10,10
GER,8518,Klaus Eifler,Jim Lindquist,SCLW,11,11,11,11
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,12,12,12,12
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,13,13,13,13
GER,8642,Anna Höll,Bernd Heinisch,,14,14,14,14
GER,8388,Peter Wolffram,Stephan Ottenschläger,,15,15,15,15
GER,8482,Achim Funk,Nette Jansen,SCLW,16,16,16,16
ITA,8743,Marco Giraldi,Erica Giraldi,UVM,17,17,17,17
GER,8598,Fabian Martyson,Udo Wilters,SGR,18,18,18,18
GER,8719,Albrecht Maisch,Frank Letsche,SGK,19,19,19,19
GER,8590,Jürgen Ziegler,Matthias Pfister,SCLW,20,20,20,20
GER,7921,Alexander von Mertens,Jochen Heydolph,StSC,21,21,21,21
GER,8697,Wilfried Stuis,Benjamin Lasnier,YCN,22,22,22,22
GER,8670,Gerhard Engel,Renita Engel,YCSB,23,23,23,23
GER,8571,Uwe Hoffmann,Verena Hoffmann,WSVR,24,24,24,24
GER,8204,Ingo Schneider,Sebastian Hoering,SCLW,25,25,25,25
GER,6425,Guillaume Catho,Jean Baptist Comefert,SRCA,26,26,26,26
