Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8957,"Wolfgang Hunger","Julien Kleiner",PYC,3,1,1,1,5,11,,1
GER,8927,"Martin Görge","Hans-Heinrich Rix",TSVS,1,2,3,3,1,10,,2
GER,8958,"Stefan Köchlin","Christian Engl",SKF,2,3,6,7,4,22,,3
GER,8874,"Norbert Dasenbrook","Lars Dehne",KSW,6,7,4,4,7,28,,4
GER,8788,"Karsten Lahrs","Peter Gerdts",HYC,5,4,7,6,8,30,,5
GER,8975,"Dietrich Scheder-Bieschin","Holger Jess",NRV,"DNC 19","DNC 19",2,2,2,44,,6
GER,8563,"Stefan Schmidt","Jens Lücke",SVSS,8,6,8,8,6,36,,7
GER,8669,"Tim Böger","Markus Schöner",HSC,"DNF 19","DNC 19",5,5,3,51,,8
GER,8550,"Martha Hauschild","Michael Heyder",SCS,7,8,9,9,10,43,,9
GER,8654,"Nikolaus Jägersberg","Moritz Theden",SCLW,9,9,11,10,9,48,,10
GER,8664,"Nicholas Melzwig","Karsten Morf",LRV,10,10,10,11,11,52,,11
GER,8483,"Melanie Horstmann","Christine Wegner",HSC,4,5,"DNF 19","DNC 19","DNC 19",66,,12
GER,8049,"Matthias Tellen","Moritz Lüther",RSC,12,12,15,12,"DNC 19",70,,13
GER,8744,"Lutz Kandzia","Thorsten Pieper",ASV,13,13,14,15,12,67,,14
GER,7861,"Christian Henge","Katharina Menge",OSG,15,14,12,13,14,68,,15
GER,7848,"Gregor Ruschemeier","Jan Mggenburg",SVPB,14,15,13,14,15,71,,16
GER,8730,"Enno Wilts","Thorge Holm",SVBB,11,11,"DNC 19","DNC 19","DNC 19",79,,17
GER,8437,"Sebastian Schröder","Daniel Fürl",WSV1921,16,16,16,16,13,77,,18
