Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8563,"Stefan Schmidt","Gerrit Haaland",SVSS,3,1,2,4,1,11,,1
GER,8725,"Hannes Lehning","Lars Kruse",SWE,1,2,3,3,3,12,,2
GER,8862,"Dirk Hänsgen","Frank Rupprich",SVPB,2,4,5,1,5,17,,3
GER,8657,"Georg Neulen","Peter Gerdts",WYCA,8,3,6,5,2,24,,4
GER,8619,"Steve Kwee","Thorsten Spötter",HSC,4,5,1,9,11,30,,5
GER,8480,"Marc Köster","Christoph Köster",BSV-AT,"DNF 14",7,9,2,4,36,,6
GER,8575,"Benjamin Bintig","Oliver Korittki",YCO,5,8,7,8,"DNF 14",42,,7
GER,8528,"Andre Tirre","Frank Wille",YCS,7,8,"DNC 14",6,9,44,,8
GER,7035,"Michael Köritz","Christina Burger",USCO,9,11,4,"DNC 14",8,46,,9
GER,8297,"Mario Tirre","Henry Stoffers",SCZ,"DNF 14",10,8,7,7,46,,10
GER,8527,"Hartmut Weiß","Volker Weiß",SCLW,6,9,11,10,10,46,,11
GER,8458,"Niels Kapeller","Jens Krause",SVPB,10,12,10,11,6,49,,12
GER,8470,"Oliver Schürmann","Frauke Schürmann",WYCA,"DNF 14","DNC 14","DNC 14",12,"DNF 14",68,,13
