Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8693,"Michael Daisenberger","Florian Lautenschläger",DTYC,1,2,2,1,4,10,,1
GER,8651,"Christian Kellner","Andreas Achterberg",HSC,3,4,1,4,2,14,,2
GER,8751,"Nicola Birkner","Angela Stenger",SVaW,4,5,4,3,1,17,,3
GER,8901,"Max Weiß","Wolfgang Stückl",DTYC,2,1,3,7,7,20,,4
GER,8928,"Hendrik Schultz","Ute Oberländer",SCLW,7,6,6,2,3,24,,5
GER,8903,"Stephan Schweiger","Thorsten Koch",SCLW,6,3,5,9,6,29,,6
GER,8672,"Karsten Contag","Guido von Walter",SCLW,5,8,8,5,5,31,,7
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,8,7,11,8,8,42,,8
GER,8513,"Sven Dömges","Andreas Happich",ESV86,11,9,7,14,10,51,,9
GER,8531,"Christian Muck","Benedikt Schulte",,12,14,10,10,9,55,,10
GER,8530,"Alexander von Mertens","Christian Dörr",StSC,9,10,13,13,11,56,,11
GER,8527,"Hartmut Weiß","Volker Böhringer",SCLW,10,12,9,12,14,57,,12
GER,8719,"Albrecht Maisch","Thoralf Greger",SGK,14,"DNF 22",15,6,12,69,,13
GER,7921,"Jochen Heydolph","Thomas Holik",SCLW,16,11,12,11,13,63,,14
FRA,4601,"Benoit Dehais","Guillaume Catho",SRB,13,15,14,16,16,74,,15
GER,7970,"Mats Westholm","Antje von Hoyer",SCLW,15,13,17,15,15,75,,16
GER,8518,"Klaus Eifler","Jim Lindquist",SCLW,17,16,16,17,17,83,,17
GER,8598,"Fabian Martyson","Udo Wilters",SGR,19,18,20,18,18,93,,18
GER,8697,"Wilfried Stuis","Sebastian Hoering",YCN,18,17,19,"DNF 22","DNC 22",98,,19
GER,8666,"Michael Kurzeja","Julius Jacoby",BYC,"DNF 22",19,18,"OCS 22",19,100,,20
GER,8590,"Jürgen Ziegler","Matthias Pfister",SCLW,20,20,"DNF 22",19,20,101,,21
