Country,Boat Number,Helm,Crew,Club,Race 1,Boat Name,Points Total,Points Netto,Place
DEN,0,Paul Bert Elvstrøm,,,,,,,1
GBR,0,Richard Creagh Osborne,,,,,,,2
GBR,0,David Court Hampton,,,,,,,2
FRA,370,H. Samuel,,,,,,,4
FRA,321,J. Cettier,,,,,,,5
FRA,0,J. Faubert,,,,,,,6
,0,,,,,,,,7
,0,,,,,,,,8
,0,,,,,,,,9
,0,,,,,,,,10
,0,,,,,,,,11
,0,,,,,,,,12
,0,,,,,,,,13
,0,,,,,,,,14
,0,,,,,,,,15
,0,,,,,,,,16
,0,,,,,,,,17
,0,,,,,,,,18
,0,,,,,,,,19
,0,,,,,,,,20
,0,,,,,,,,21
,0,,,,,,,,22
,0,,,,,,,,23
