Country,Boat Number,Helm,Crew,Club,Race 1,Boat Name,Points Total,Points Netto,Place
FRA,,Jean-Claude Cornu,Daniel Gouffier,,,,,,1
GBR,,Richard Creagh Osborne,,,,,,,1
FRA,, Samuel Bros,,,,,,,3
IRL,,J. Clayton Love,,,,,,,4
