Nation,Boat no,HelmName,Crew,Club,R1,R2,R3,Total,Nett,Rank
SWE,7937,Oscar Ångervall,Johan Barne,GKSS,1.0,1.0,2.0,4.0,4.0,1st
SWE,8651,Peter Andersson,Per-Eric Thörnström,SSVIKEN-ÄGIR,3.0,3.0,1.0,7.0,7.0,2nd
SWE,8666,Anders Dahlén,Magnus Nilsson,TÄBS,2.0,4.0,4.0,10.0,10.0,3rd
SWE,9038,Lars Bjerke,Tore Reinhold,BKSS(BJÖRLANDAKILESS),4.0,2.0,6.0,12.0,12.0,4th
SWE,8585,Malin Vångfors,Daniel Lundahl,VÄSS,5.0,5.0,3.0,13.0,13.0,5th
SWE,8837,Tord Lawner,Tomas Gustavsson,BKSS,6.0,6.0,5.0,17.0,17.0,6th
SWE,8257,Fredrik Molander,Tomas Jaxing,LDSS/BMSS,9.0 DNC,9.0 DNC,9.0 DNC,27.0,27.0,7th
SWE,8419,Leif Danielsson,Axel Danielsson,HASS,9.0 DNC,9.0 DNC,9.0 DNC,27.0,27.0,7th
