Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GBR,9131,Nathan Batchelor,Holger Jess,,2,2,1,2,DNC,,1
GER,9059,Malte Christophersen,Sebastian Salein,KAR,3,4,3,1,1,,2
GER,9043,Nicola Birkner,Angela Stenger,SVaW,1,6,2,3,4,,3
GER,8519,Thure Gnadeberg,Aron Tellen,BSV,1,5,5,3,93,,4
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,4,3,4,4,5,,5
GER,8975,Alexander Holzapfel,Tobias Neumeyer,PSVK,5,5,7,8,2,,6
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,10,8,6,9,8,,7
GER,9054,Anika Kébreau,C. Wollenbecker,YCBG,7,7,13,13,6,,8
GER,9046,Hartwig Friedrichs,Ulrich Meyer,WSCW,13,10,9,6,9,,9
GER,8550,Martha Hauschild,Michael Heyder,SCS,12,9,11,7,10,,10
GER,8385,Torsten Simon,Jochen Mikosch,PYC,9,11,8,10,BFD,,11
GER,8915,Marvin Schlesiger,Davina Schlesiger,MSC,11,12,10,14,7,,12
GER,8750,Konrad Otto,Florian Ader,SGS,8,17,12,12,14,,13
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,14,13,14,11,12,,14
GER,8531,Anna Hauschild,Frederik Tasche,SCS,16,19,15,15,11,,15
GER,8721,Daniel Czeninga,Martin Lietz,FSV 03 eV,15,14,17,16,13,,16
GER,8493,Thorsten Pösch,Michael Baumann,SGSZ,17,15,19,18,15,,17
GER,8634,Ailyn Hofmann,Florian Brix,,18,18,18,17,16,,18
GER,8654,Philipp Müller,Malte Eilenstein,SGAM,19,16,16,DNC,DNC,,19
GER,8672,Richard Elsner,Benjamin Seibt,SLRV,20,DNF,20,19,17,,20
