Boat,Helm,Crew,Club,Result,R1,R2,R3,Netto,Place
GER 8806,Lutz Stengel,Frank Feller,ROYC,5,1,1,3,5,1
GER 8992,Claas Lehmann,Leon Oehme,BSC,8,2,5,1,8,2
GER 8875,Jens Findel,Johannes Tellen,KYC,8,4,2,2,8,3
GER 8903,Steve Kwee,Thorsten Spötter,HSC,11,3,4,4,11,4
GER 9070,Stefan Köchlin,Thomas Jung,SVS,20,12,3,5,20,5
GER 8825,Michael Troch,Birgit Hartmann,SGJ,23,5,8,10,23,6
GER 8775,Jan Sell,,Svws,23,7,7,9,23,7
GER 8317,Christina Burger,Hartwig Friederichs,ZSK,26,6,13,7,26,8
GER 9057,Jan Lürkens,Jan Reifferscheidt,SCE,27,13,6,8,27,9
GER 87,Jürgen Anton,Ulf Denicke,HSC,29,9,14,6,29,10
GER 8874,Henning Steffen,Tilman Giesen,SLRV,31,8,12,11,31,11
GER 9000,Martin Bernauer,Enno Wilts,OSG,32,10,9,13,32,12
GER 8964,Iris Anton,,Hsc,36,14,10,12,36,13
GER 8437,Davina Schlesiger,Marvin Schlesiger,MSC,45,11,18,16,45,14
GER 8932,Christian Henge,,Wscw,45,16,11,18,45,15
GER 8500,Katharina Menge,Jens Kühne,OSG,46,15,17,14,46,16
GER 8999,Karsten Stümpel,Alena Wilkens,HSC,47,17,15,15,47,17
GER 8988,Georg Mittermayer,Dirk Barteldt,SCLL,51,18,16,17,51,18
GER 8989,Klaus Brinkbäumer,Toralf Feuchtenhofer,HSC,57,19,19,19,57,19
GER 7219,Reimund Bauer,Ailyn Hofmann,OSG,61,20,21,20,61,20
GER 8691,Harald König,Katja Frühwald-König,SRVL-S,63,21,20,22 DNS,63,21
