Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Punkte,Pl.
GER,9102,Meike Schomäker,Holger Jess,ZSK,1,9,3,13,1
FRA,9075,Philippe Boite,Erwan Grossmann,CVM,6,10,1,17,2
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,8,1,9,18,3
FRA,8904,Nicolas Martin,Julien Lafortune,,5,2,19,26,4
FRA,9067,Bertrand Loyal,Nicolas des Jamonières,,14,11,2,27,5
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aas,9,5,13,27,6
FIN,9069,Jari Hamstroem,Tuomas Laurila,EMK,18,4,8,30,7
GER,9020,Tim Böger,Markus Schöner,HSC,7,13,10,30,8
SUI,9096,Cedric Bart,Laurent Grob,CNB,2,19,12,33,9
GER,9054,Morten Bogacki,Lars Dehne,DYC,10,17,6,33,10
GER,8988,Jens Olbrysch,Oliver Thies,HSC,4,21,11,36,11
GER,9090,Christian Kellner,Andreas Achterberg,HSC,11,24,5,40,12
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,21,14,7,42,13
GER,8990,Frieder Achterberg,Wolfgang Stückl,DTYC,16,27,4,47,14
FRA,9056,Alain Tosello,Yves Niddam,,15,18,16,49,15
SUI,8954,Caroline Jacot,Philippe Jacot,CVN,3,6,DNF,53,16
ITA,8916,Enrico Ciferri,Gabriele Natatli,,13,15,26,54,17
FRA,8909,Francis Doerenbecher,Philippe Wolff,CNS,25,16,15,56,18
FRA,9024,Claude Gachet,Kleber Valery,YCG,22,7,31,60,19
SUI,0,Florian Stauffer,Valery Jacot,CVN,32,8,20,60,20
SUI,0,Ueli Marti,Res Schuerch,,19,28,14,61,21
FRA,8847,Muriel Jeanne,Frank Agrapart,CNHS,26,23,17,66,22
FRA,8900,Serge Gubri,Geraud Lafortune,JMIAM,30,3,34,67,23
GER,9101,Sophie Heyer,Robert Rothe,JSC,27,22,18,67,24
SUI,9060,Catherine Houriet,Gil Donze,,12,12,DNF,68,25
FRA,8729,Robert Ronnback,Jordane Lafortune,,17,26,30,73,26
FRA,9068,Francois De Lisle,Herve Brillaud,CVP,23,31,21,75,27
FRA,8704,Thibault Di Pede,Fabrice Toupet,,20,36,22,78,28
ITA,8743,Federico Pilo Pais,Marco Giraldi,,28,33,25,86,29
FRA,8362,Olivier Magret,Mathieu Glade,,24,20,DNF,88,30
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,St Tropez,31,34,23,88,31
FRA,9098,Michel Delsemme,Raphael Lebouche,,33,30,27,90,32
FRA,8402,Loic Bleuez,Frederic Roucayrol,,29,29,32,90,33
SUI,8727,Lorenz Nydegger,Martin Nydegger,SCB,DNC,25,24,93,34
FRA,8773,Philippe Markt,Gael Conversy,,36,35,29,100,35
FRA,9019,Veronique Brenet,Jean-Pierre Peter,ACAL,34,32,36,102,36
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,,37,37,33,107,37
GER,8874,Steffen Henning,Arne Lanatowitz,HSC,35,38,35,108,38
FRA,8870,Christian Silvestre,Aline Martin,CVB,DNC,DNC,28,116,39
GER,8473,Christoph Böckle,Timo Böckle,SSCM,38,40,DNF,122,40
FRA,8353,Eric Verplanken,Gilles Casanova,,40,39,DNF,123,41
FRA,8139,Delaizir Le,Philippe Bradfer,,41,41,DNF,82,42
FRA,8802,Pascal Viaud,Alban Viaud,,39,DNC,DNF,39,43
