Boot,,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Punkte,Pl.
GER,8542,Tom Swift,Oliver Tessloff,NRV,3,9*,3,1,7,1
GER,8633,Stefanie Wagner,Wolfgang Stückl,DTYC,2,2,4,5*,8,2
GER,7661,Ernst Meyer,Angela Stenger,SPYC,1,11*,6,4,11,3
GER,8580,Michael Seeger,Andreas Achterberg,DTYC,4,15*,1,6,11,4
GER,8642,Thoralf Greger,Tobias Quadfaß,ASVG,6,3,7*,2,11,5
GER,8621,Stephan Schweiger,Johannes Schmederer,SCLW,8*,1,8,3,12,6
GER,8562,Wolfgang Seifert,Christian Voggeser,SCLW,7,4,2,11*,13,7
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,5,10*,5,7,17,8
GER,8519,Robert Wisolek,Christina Berggren,SCLW,9,DNC*,9,8,26,9
GER,8413,Martin Eckel,Christian Schuster,HSC,14*,7,13,9,29,10
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,12,6,15*,12,30,11
GER,7442,Nathalie Friedrich,Claudius Zeiler,SCLW,10,13*,11,10,31,12
GER,8530,Alexander von Mertens,Christina Höll,StSC,16*,8,10,15,33,13
GER,8772,Ronald Roos,Kirsten Roos,SVWu,11,5,DNC*,DNC,34,14
GER,8098,Martin Handel ,Frank Letsche,SGK,17*,12,12,14,38,15
GER,7768,Christina Friedrich,Thorsten Koch,DHH-RG,13,14,14,16*,41,16
GER,8210,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,15,16*,16,13,44,17
