Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2",Brutto,Netto,Place
GER,8633,"Stefanie Wagner","Wolfgang Stückl",DTYC,1,1,2,2,1
GER,8642,"Thoralf Greger","Tobias Quadfaß",ASVG,2,3,5,5,2
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,3,6,9,9,3
GER,8621,"Stephan Schweiger","Matthias Schmederer",SCLW,5,4,9,9,4
GER,8697,"Hans-Otto Frisch","Achim Funk",SCLW,6,5,11,11,5
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,8,7,15,15,6
GER,8475,"Göran Berggren","Agnes Berggren",SCLW,4,12,16,16,7
GER,7661,"Christina Höll","Anna Höll",HSC,7,9,16,16,8
GER,8413,"Martin Eckel","Jakob Andreas",HSC,9,1,10,10,9
GER,8519,"Robert Wisolek","Ines Berghof",SCLW,"DSQ 19",2,21,21,10
GER,8572,"Peter Heimbeck","Thomas Heimbeck",SCLW,15,8,23,23,11
GER,8518,"Klaus Eifler","Stefan Worm",SCLW,12,11,23,23,12
GER,7768,"Christina Friedrich","Thorsten Koch",DHH-RG,11,13,24,24,13
GER,8210,"Nikolaus Jägersberg","Wolfgang Hiltscher",SCLW,10,15,25,25,14
GER,8098,"Albrecht Maisch","Frank Letsche",SGK,13,18,31,31,15
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,14,17,31,31,16
GER,8654,"Jochen Gosch","Sebastian Gosch",SVM,16,16,32,32,17
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,"DNC 19",14,33,33,18
