Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
GER,8539,"Hendrik Schultz","Ute Oberländer",SCLW,2,4,1,2,"RAF 37",1,47,,1
GER,8619,"Jens Findel","Johannes Tellen",KYC,3,"BFD 37",2,1,1,3,47,,2
GER,8570,"Till Supan","Gregor Dahlem",ETUF,20,1,5,7,2,5,40,,3
GER,8772,"Ronald Roos","Gerd Linnemann",SVWu,13,"BFD 37",4,4,4,2,64,,4
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,6,2,6,5,9,"BFD 37",65,,5
GER,8758,"Jürgen Hatje","Ole Günther",KYC,4,12,3,12,5,7,43,,6
GER,8749,"Stephan Krause","Michael Krause",HiSC,14,10,8,3,3,8,46,,7
GER,8775,"Tom Swift","Uwe Lätzsch",NRV,1,"BFD 37",11,15,6,6,76,,8
GER,8472,"Melanie Horstmann","Georg Neulen",HSC,8,8,14,8,11,"BFD 37",86,,9
GER,8549,"Jens Meinert","Thomas Sobott",BCN,18,11,10,6,15,15,75,,10
GER,8675,"Volker Görge","Marlies Endjer",TSVS,24,6,7,17,"DNC 37",4,95,,11
GER,8751,"Markus Mühlbauer","Jens Wilke",DTYC,5,3,12,27,14,"DNC 37",98,,12
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,16,7,18,10,12,"DNC 37",100,,13
GER,8642,"Thoralf Greger","Alexander Krohmer",ASVG,19,9,19,26,8,9,90,,14
GER,8222,"Jan Büscher","Igmar Schulz",WYC,11,22,13,11,19,10,86,,15
GER,8414,"Stefan Worm","Mathias Kaiser",RYC,17,5,15,13,17,"BFD 37",104,,16
GER,8471,"Daniel Van Bonn","Malte Coers",SKBUE,15,18,17,20,10,11,91,,17
GER,8527,"Tim Steinert","Jens Steinert",ZSK,10,13,"DSQ 37",22,21,13,116,,18
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,12,"BFD 37",16,9,7,"BFD 37",118,,19
GER,8424,"Peter Gerdts","Karsten Lahrs",HSC,23,15,20,21,13,20,112,,20
GER,8567,"Jörg Detmold","Marius Knippscheer",SCH,7,16,"DNF 37",16,16,"DNC 37",129,,21
GER,8404,"Hans-Christian Schwieger","Jörg Siebert",NRV,21,24,9,25,18,"BFD 37",134,,22
GER,8674,"Christian Niefert","Christian Faust",BSV,30,17,25,18,26,17,133,,23
GER,7661,"Susanne Auerbach","Anna Höll",HSC,29,14,"DSQ 37",23,20,18,141,,24
GER,8441,"Rainer Gerdes","Bettina Dittemer",SSCK,1963,34,26,21,24,24,2092,,25
GER,8712,"Siegfried Labenz","Christian Labenz",SVWu,28,19,23,33,23,16,142,,26
GER,8392,"Georg Mittermayer","Konrad Barop",LYC,31,20,24,19,30,23,147,,27
GER,7548,"Kristine König","Thilo König",BSV,26,25,"DNC 37",30,25,14,157,,28
GER,7498,"Alexander Holzapfel","Dirk Ipach",PSVK,32,23,26,31,22,21,155,,29
GER,8108,"Thorge Holm","Nils Holm",BCN,35,28,"DNF 37",14,27,22,163,,30
GER,8430,"Klaus Heeschen","Alexandra Schulz",WSCW,27,27,"DNC 37",32,28,19,170,,31
GER,8412,"Antje Paulsen","Björn Schaar",BSV,22,21,"DNF 37",29,32,"BFD 37",178,,32
GER,7747,"Hendrik Oberheid","Siegfried Krause",ETuF,33,29,27,34,31,24,178,,33
GER,8601,"Christian Koch","Lars Wrentzel",TSVS,"DNC 37","DNC 37",22,28,29,"BFD 37",190,,34
GER,8663,"Nørbert Dasenbrook","Sven Meier",KSW,9,"BFD 37","DNF 37","DNC 37","DNC 37","DNC 37",194,,35
GER,8421,"Christoph Blecken","Hannes Becker",BSV,25,"DNC 37","DNC 37","DNC 37","DNC 37","DNC 37",210,,36
