Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
GER,8775,Wolfgang Hunger,Holger Jess,PYC,1,7,5,1,1,15,,1
GER,8670,Martin Görge,Rainer Görge,TSVS,2,2,3,4,11,22,,2
,,,,,,,,,,,,3
GER,8661,Diethardt Freye,Michael Klügel,BSV,13,1,12,5,3,34,,4
GER,8563,Matthias Jetschke,Jens Weishaupt,WSCW,8,11,8,3,4,34,,5
GER,8590,Stefan Köchlin,Peter Hobusch,SKF,4,12,6,6,7,35,,6
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,5,9,1,10,9,34,,7
,,,,,,,,,,,,8
GER,8669,Tim Böger,Paul Young,HSC,9,25,15,2,6,57,,9
,,,,,,,,,,,,10
GER,8542,Tom Swift,Oliver Tessloff,NRV,16,6,4,9,16,51,,11
,,,,,,,,,,,,12
,,,,,,,,,,,,13
GER,8665,Jens-Peter Schlomka,Thomas Tschentscher,TSVS,12,17,9,12,24,74,,14
GER,8730,Jens Hufnagel,Markus Schöner,ScStM,20,13,16,17,14,80,,15
GER,8749,Stephan Krause,Michael Krause,HiSC,10,14,17,26,21,88,,16
GER,8424,Peter Gerdts,Karsten Lahrs,HSC,22,5,18,19,23,87,,17
,,,,,,,,,,,,18
,,,,,,,,,,,,19
,,,,,,,,,,,,20
GER,8404,Hans-Christian Schwieger,Waldemar Schönebeck,NRV,15,16,22,22,17,92,,21
GER,8471,Daniel Van Bonn,Malte Coers,SKBUE,18,27,DSQ 21,21,13,100,,22
GER,8664,Franziska Unkelbach,Martin Schöler,KYC,21,19,21,20,20,101,,23
GER,8430,Klaus Heeschen,Frederik Teichmann,WSCW,23,28,25,23,19,118,,24
GER,8607,Bernd Kowalzig,Ulrich Ellerbeck,SCBK,17,29,OCS 21,27,18,112,,25
,,,,,,,,,,,,26
GER,8222,Jan Büscher,Nils Seeck,WYC,24,23,20,25,25,117,,27
GER,6052,Philipp Saring,Nils Hilliges,SVSS,30,30,26,28,27,141,,28
,,,,,,,,,,,,29
GER,8480,Sven Hollenbeck,Björn Hollenbeck,WYCD,28,21,DSQ 21,DNC 21,DNC 21,112,,30
,,,,,,,,,,,,31
