Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8642,"Thoralf Greger","Anna Höll",ASVG,2,3,1,6,6,1
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,1,4,4,9,9,2
GER,8633,Hochholzer,"Wolfgang Stückl",DTYC,5,2,2,9,9,3
GER,8621,"Stephan Schweiger","Johannes Schmederer",SCLW,4,1,5,10,10,4
GER,8519,"Robert Wisolek","Ines Berghof",SCLW,6,8,3,17,17,5
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,7,5,8,20,20,6
GER,8681,"Hans-Otto Frisch","Achim Funk",SCLW,10,6,6,22,22,7
GER,7768,"Christina Friedrich","Thorsten Koch",DHH-RG,3,11,11,25,25,8
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,8,10,7,25,25,9
GER,6771,"Frederike Geppert","Christina Höll",HSC,9,9,9,27,27,10
GER,8210,"Nikolaus Jägersberg","Wolfgang Hiltscher",SCLW,11,7,10,28,28,11
