,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Place
GER,8661,Diethardt Freye,Michael Klügel,BSV,3,1,3,7,,1
GER,8570,Till Supan,Gregor Dahlem,ETUF,7,6,1,1,,2
GER,8632,Jens-Peter Schlomka,Thomas Tschentscher,TSVS,1,3,5,5,,3
GER,8619,Jens Findel,Johannes Tellen,KYC,4,2,4,6,,4
GER,8608,Bernd Rasenack,Carl Riebe,ZSK,DSQ,4,2,4,,5
GER,8730,Jens Hufnagel,Markus Schöner,ScStM,2,7,7,2,,6
GER,8575,Jürgen Waldheim,Lars Thiel,PYC,6,8,12,3,,7
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,5,5,11,12,,8
GER,8108,Thorge Holm,Nils Holm,BCN,8,10,6,9,,9
GER,8222,Jan Büscher,Igmar Schulz,WYC,10,9,9,8,,10
GER,8471,Daniel Van Bonn,Malte Coers,SKBUE,DNC,12,8,10,,11
GER,8562,Antje Paulsen,Björn Schaar,BSV,9,11,13,DNC,,12
GER,7801,Christiane Giefers,Nils Leibitzke,SVPB,DNF,DNC,10,11,,13
