Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Punkte,Pl.
GER,8775,Wolfgang Hunger,Holger Jess,PYC,7,2,1,1,1,14,,1
GER,8563,Matthias Jetschke,Jens Weishaupt,WSCW,9,7,5,2,3,1,,2
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,15,3,8,3,5,3,,3
GER,8619,Jens Findel,Johannes Tellen,KYC,16,1,4,OCS,2,4,,4
GER,8671,Joachim Hellmich,Christian Paschen,WYD,4,10,3,OCS,9,2,,5
DEN,8440,Per Larsen,Uffe Andersen,Farum,1,9,7,14,7,5,,6
GER,8749,Stephan Krause,Michael Krause,HiSC,14,20,2,9,4,11,,7
GER,8758,Jürgen Hatje,Ole Günther,KYC,6,4,14,13,8,DNF,,8
GER,8471,Daniel Van Bonn,Malte Coers,SKBUE,5,16,12,8,16,6,,9
GER,8414,Stefan Worm,Mathias Kaiser,RYC,12,12,10,6,18,7,,10
GER,8539,Hendrik Schultz,Ute Oberländer,SCLW,2,18,6,21,10,15,,11
GER,8730,Jens Hufnagel,Markus Schöner,ScStM,13,11,22,4,6,17,,12
GER,8279,Maike Miechelsen,Kay-Enno Brink,WSU,8,21,13,5,17,10,,13
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,21,14,9,7,13,16,,14
GER,847,Tim Steinert,Jens Steinert,ZSK,19,5,17,18,12,13,,15
GER,8424,Peter Gerdts,Karsten Lahrs,HSC,32,23,16,10,15,8,,16
GER,8673,Volker Görge,Torsten Hessler,TSVS,17,6,24,11,21,23,,17
GER,8531,Michael Troch,Eckart König,SGJ,18,15,19,19,11,19,,18
GER,8674,Christian Niefert,Christian Faust,BSV,11,17,21,12,23,26,,19
GER,8507,Armin Eismann,Tino Käcks,SCA,30,8,23,16,14,24,,20
GER,8409,Oliver Holste,Jan Haase,WSCW,33,29,11,17,19,20,,21
GER,8047,Grietje Therkorn,Kirstin Schirrmacher,CKA,3,25,15,26,31,DNF,,22
GER,8480,Sven Hollenbeck,Björn Hollenbeck,WYCD,26,24,18,15,26,22,,23
GER,8465,Petra Kliba-Schmidt,Jan-Rolf Schmidt,SKWB,20,13,26,20,27,27,,24
GER,8222,Jan Büscher,Nils Seeck,WYC,22,19,20,25,29,21,,25
GER,8430,Klaus Heeschen,Frederik Teichmann,WSCW,10,34,30,OCS,25,12,,26
GER,8404,Hans-Christian Schwieger,Waldemar Schönebeck,NRV,23,27,29,24,20,18,,27
GER,8657,Georg Neulen,Michael Schütte,WYCA,25,35,28,OCS,22,9,,28
GER,6786,Hendrik Reinhardt,Kerstin Schult,SVSF,24,28,25,23,24,25,,29
GER,8478,Kai-Uwe Weiss,Felix Weidling,HSV,29,26,27,27,28,28,,30
GER,8601,Christian Koch,Heike Jansen,TSVS,34,22,33,22,30,DNF,,31
GER,8634,Steffen Henning,Gerrit Haaland,HSC,28,30,35,28,34,30,,32
GER,7548,Kristine König,Thilo König,BSV,27,31,34,30,32,32,,33
GER,8166,Roland Boettcher,Gabi Boettcher,PSVK,31,33,31,31,37,29,,34
GER,8071,Elke Schott,Harald Schott,SVS,35,32,32,29,33,31,,35
GER,856*,Hendrik Oberheid,Siegfried Krause,ETuF,37,36,36,32,35,DNF,,36
GER,7631,Michael Kärgel,Christine Pöhl,SCE,36,DNF,DNF,33,36,DNF,,37
