Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8775,Tom Swift,Holger Jess,NRV,2,1,1,1,5,,1
GER,8619,Jens Findel,Johannes Tellen,KYC,1,4,3,5,13,,2
GER,8632,Tom Gosch,Antje Gosch,ENSFV,15,2,2,2,21,,3
GER,8725,Dietrich Scheder-Bieschin,Rolf Meyer,NRV,7,9,7,9,32,,4
GER,8663,Nørbert Dasenbrook,Jens Wilke,KSW,5,7,10,11,33,,5
GER,8749,Stephan Krause,Michael Krause,HiSC,20,6,5,3,34,,6
GER,8527,Tim Steinert,Jens Steinert,ZSK,11,10,11,8,40,,7
GER,8632,Claas Lehmann,Klaus Stammerjohann,NRV,4,5,OCS 31,4,44,,8
GER,8655,Martin Görge,Jørgen Bojsen-Møller,TSVS,3,8,4,OCS 31,46,,9
GER,8671,Joachim Hellmich,Christian Paschen,WYD,6,3,OCS 31,6,46,,10
GER,8675,Karsten Morf,Heike Jansen,CKA,8,17,14,12,51,,11
GER,8505,Adalbert Kluck,Gerhard Schmidt,TSVS,13,12,16,10,51,,12
GER,8155,Tobias Kirsch,Jens Kirsch,SCRR,25,15,6,7,53,,13
GER,8601,Christian Koch,Hans-Heinrich Rix,TSVS,16,24,8,13,61,,14
GER,8662,Jan Stölken,Matthias Brühl,SCU,12,22,15,16,65,,15
DEN,8581,Jan Andresen,Lasse Andresen,REESO,21,19,9,17,66,,16
DEN,8609,Martin Frederichsen,Thomas Kildegård,ASK,22,11,19,14,66,,17
GER,8333,Jan Büscher,Igmar Schulz,WYC,17,23,12,15,67,,18
GER,8500,Robert Baumann,Dirk Kaiser,SSV,9,18,17,24,68,,19
GER,8730,Jens Hufnagel,Markus Schöner,ScStM,10,14,13,DNF 31,68,,20
GER,8404,Hans-Christian Schwieger,Waldemar Schönebeck,NRV,14,16,24,21,75,,21
GER,8433,Jürgen Anton,Dirk Ipach,HSC,24,13,18,23,78,,22
GER,8478,Kai-Uwe Weiss,Axel Priegann,HSV,19,20,20,25,84,,23
GER,8466,Antje Paulsen,Ole Paulsen,BSV,23,28,21,19,91,,24
GER,8480,Sven Hollenbeck,Björn Hollenbeck,WYCD,26,21,25,20,92,,25
GER,8674,Christian Niefert,Christian Faust,BSV,18,25,26,25,94,,26
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,28,26,28,18,100,,27
DEN,8476,Henrik Buhl,Morten S. Andersen,FSDK,27,DNF 31,23,22,103,,28
GER,8297,Steve Kwee,Namera Namerz,HSC,29,27,22,28,106,,29
GER,8470,Bernd Lenz,Thomas Brodersen,SLRV,30,29,27,27,113,,30
