Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
GER,8593,Hendrik Schultz,Ute Oberländer,SCLW,1,3*,1,1,3,1
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,OCS 10*,1,2,3,6,2
GER,8507,Armin Eismann,Tino Käcks,SCA,2,2,3*,2,6,3
GER,8433,Jürgen Anton,Dirk Ipach,HSC,4,4,5,OCS 10*,13,4
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,3,5,7*,6,14,5
GER,7764,Robert Henning,Claudia Kroll,SVSF,5,7*,4,5,14,6
GER,6786,Hendrik Reinhardt,Kerstin Schult,SVSF,OCS 10*,6,6,4,16,7
GER,6169,Axel Schult,Anika Kerkow,,6,8*,8,7,21,8
GER,8533,Roger Bussenius,Martin Maal,SCOH,7,9*,9,8,24,9
