Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7","Race 8",Brutto,Netto,Place
GER,8788,"Wolfgang Hunger","Holger Jess",PYC,23,1,2,1,1,7,1,1,37,,1
GER,8725,"Dietrich Scheder-Bieschin","Rainer Görge",NRV,1,5,3,2,"DNF 25",2,2,17,57,,2
GER,8563,"Matthias Jetschke","Martin Schöler",WSCW,11,4,1,8,7,8,3,10,52,,3
GER,8758,"Jürgen Hatje","Ole Günther",KYC,4,2,7,10,9,6,4,8,50,,4
GER,8744,"Hans-Heinrich Rix","Steffen Achenbach",TSVS,5,9,5,5,4,5,14,13,60,,5
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,2,8,6,6,8,4,8,11,53,,6
GER,8465,"Petra Kliba-Schmidt","Dario Kliba",SKWB,3,10,17,14,16,3,6,2,71,,7
GER,8590,"Stefan Köchlin","Peter Hobusch",SKF,13,3,8,3,2,13,12,12,66,,8
GER,8539,"Hendrik Schultz","Ute Oberländer",SCLW,8,12,9,13,14,1,5,6,68,,9
GER,8661,"Diethardt Freye","Michael Klügel",BSV,7,6,4,"DSQ 25",6,11,9,23,91,,10
GER,8675,"Volker Görge","Karsten Morf",TSVS,18,7,16,4,5,9,19,15,93,,11
GER,8472,"Melanie Horstmann","Georg Neulen",HSC,6,15,11,12,12,10,16,5,87,,12
GER,8772,"Ronald Roos","Andreas Achterberg",SVWu,9,13,15,7,3,15,10,20,92,,13
GER,8471,"Daniel Van Bonn","Malte Coers",SKBUE,12,11,14,"DNF 25","DNC 25",14,7,3,111,,14
GER,8531,"Michael Troch","Thilo König",SGJ,19,14,12,9,13,12,11,9,99,,15
GER,8662,"Jan Stölken","Matthias Brühl",SCU,14,16,18,"DNC 25","DNC 25",16,18,7,139,,16
GER,7498,"Alexander Holzapfel","Dirk Ipach",PSVK,24,19,21,18,19,18,15,4,138,,17
GER,8478,"Kai-Uwe Weiss","Axel Priegann",HSV,22,22,10,11,10,24,20,24,143,,18
GER,8317,"Hartwig Friedrichs","Ursula Tetzlaff",WSCW,10,18,19,15,18,17,17,19,133,,19
GER,8607,"Bernd Kowalzig","Gerhard Schmidt",SCBK,16,21,13,21,11,19,23,25,149,,20
GER,8507,"Armin Eismann","Tino Käcks",SCA,17,17,20,16,17,"DNC 25","DNC 25","DNC 25",162,,21
GER,8047,"Grietje Therkorn","Kirstin Schirrmacher",CKA,15,20,25,22,"DNF 25",20,24,14,165,,22
GER,8222,"Jan Büscher","Igmar Schulz",WYC,20,"DSQ 25",24,17,15,22,21,21,165,,23
GER,8297,"Steve Kwee",Haevis,HSC,"DNC 25",25,26,23,"DNF 25",21,22,18,185,,26
