Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8633,"Christian Kellner","Wolfgang Stückl",HSC,1,1,3,2,2,9,,1
GER,8580,"Michael Seeger","Andreas Achterberg",DTYC,4,2,1,3,1,11,,2
GER,8651,"Joachim Oetken","Stefan Oetken",FYC,3,3,2,1,3,12,,3
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,2,5,4,4,5,20,,4
GER,8642,"Thoralf Greger","Tobias Quadfaß",ASVG,5,6,9,6,4,30,,5
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,6,4,5,7,7,29,,6
GER,8413,"Martin Eckel","Christian Schuster",HSC,8,7,6,5,"DNC 16",42,,7
GER,8098,"Martin Handel","Frank Letsche",SGK,11,10,8,8,6,43,,8
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,10,11,10,9,8,48,,9
GER,8473,"Oliver Kraft","Christian Dörr",SSCM,7,8,7,"DNF 16","DNC 16",54,,10
GER,8210,"Nikolaus Jägersberg","Wolfgang Hiltscher",SCLW,12,12,12,10,10,56,,11
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,9,9,11,"DNF 16","DNC 16",61,,12
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,14,"DNF 16",15,11,9,65,,13
GER,7768,"Christina Friedrich","Thorsten Koch",DHH-RG,13,13,14,"DNF 16","DNC 16",72,,14
GER,7661,"Frederike Geppert","Christina Höll",HSC,"DNF 16","DNF 16",13,"DNF 16","DNC 16",77,,15
