Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8651,"Joachim Oetken","Stefan Oetken",FYC,1,2,1,4,4,1
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,2,1,4,7,7,2
GER,86,"Stefan Schollmayer","Francisco Sanguino",SCMSP,3,3,2,8,8,3
GER,8642,"Thoralf Greger","Tobias Quadfaß",ASVG,4,7,3,14,14,4
GER,8413,"Martin Eckel","Christian Schuster",HSC,5,4,5,14,14,5
GER,8519,"Robert Wisolek","Ines Berghof",SCLW,6,6,6,18,18,6
GER,8654,"Jochen Gosch","Sebastian Gosch",SVM,8,5,8,21,21,7
GER,7661,"Frederike Geppert","Christina Höll",HSC,7,9,9,25,25,8
GER,8428,"Helmut Spiske","Robert Martyson",SGR,9,10,10,29,29,9
GER,7768,"Christina Friedrich","Thorsten Koch",DHH-RG,12,11,7,30,30,10
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,10,8,12,30,30,11
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,11,12,11,34,34,12
