Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
GER,8539,Olaf Oberländer,Uwe Hobusch,CKA,1,6*,1,1,3,1
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,4*,2,2,2,6,2
GER,8507,Armin Eismann,Tino Käcks,SCA,2,1,4*,4,7,3
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,3,5*,3,3,9,4
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,5,3,6*,5,13,5
GER,846*,Michael Köritz,Mirek Urbański,USCO,DNC,4,5,DNC,16,6
