Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8720,"Dirk Filimonow","Lars Stöckmann",BSV,2,1,1,2,1,7,,1
GER,8725,"Sabine Meyer","Steffen Achenbach",SCED,5,2,4,1,2,14,,2
GER,8671,"Joachim Hellmich","Christian Paschen",WYD,3,4,2,3,5,17,,3
GER,8619,"Jens Findel","Johannes Tellen",KYC,4,3,3,5,3,18,,4
GER,8549,"Jens Meinert","Thomas Sobott",BCN,1,7,"DNF 14",4,7,33,,5
GER,8570,"Till Supan","Gregor Dahlem",ETUF,9,6,5,6,6,32,,6
GER,8522,"Torsten Hessler","Klaus Hönemann",SVSE,6,9,8,8,4,35,,7
GER,8414,"Stefan Worm","Mathias Kaiser",RYC,8,5,6,7,8,34,,8
GER,8370,"Harry Brandt","Christian Barke",OSV,10,10,9,10,"DNF 14",53,,9
GER,8601,"Christian Koch","Hans-Heinrich Rix",TSVS,7,8,"DNC 14",9,"DNF 14",52,,10
GER,8575,"Jürgen Waldheim","Bettina Dittemer",PYC,11,"DNC 14",7,11,"DNF 14",57,,11
GER,6805,"Andreas Jungclaus","Kay Mohr",HSC,12,"DNF 14","DNC 14",12,9,61,,12
GER,7801,"Christiane Giefers","Nils Leibitzke",SVPB,13,"DNF 14","DNC 14","DNC 14","DNC 14",69,,13
