Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Punkte,Pl.
GER,8775,Tom Swift,Arnd Hover,NRV,2,2,1,5,1
GER,8659,Axel Oberemm,Gerd Linnemann,BYC-SC,1,3,2,6,2
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,4,1,4,9,3
GER,8539,Olaf Oberländer,Frank Feller,CKA,3,6,3,12,4
GER,8414,Stefan Worm,Mathias Kaiser,RYC,5,4,6,15,5
GER,8507,Armin Eismann,Tino Käcks,SCA,6,5,7,18,6
GER,6786,Hendrik Reinhardt,Axel Schult,SVSF,8,8,10,26,8
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,7,9,11,27,9
GER,8530,Alexander von Mertens,Sebastian Dörr,StSC,9,11,8,28,10
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,DNF,10,9,31,11
