Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8519,"Robert Wisolek","Thorsten Koch",SCLW,1,3,1,5,5,1
GER,8580,"Matthias Hauger","Dominik Grothe",DTYC,8,2,4,14,14,2
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,3,6,5,14,14,3
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,5,1,9,15,15,4
GER,8633,"Frieder Achterberg","Wolfgang Stückl",DTYC,7,7,2,16,16,5
GER,8654,"Jochen Gosch","Sebastian Gosch",SVM,4,4,8,16,16,6
GER,8642,"Anna Höll","Tobias Quadfaß",,2,9,6,17,17,7
GER,8720,"Stephan Schweiger","Johannes Schmederer",SCLW,9,5,3,17,17,8
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,6,8,7,21,21,9
GER,8098,"Albrecht Maisch","Frank Letsche",SGK,12,10,10,32,32,10
GER,8518,"Klaus Eifler","Ines Berghof",SCLW,10,11,"DNC 13",34,34,11
GER,8697,"Hans-Otto Frisch","Achim Funk",SCLW,11,"DNC 13","DNC 13",37,37,12
