Sail,Number,Team,Club,R1,R2,R3,R4,R5,R6,T,N,Nr,
FIN,9069,Sofia Toroi,Tuomas Laurila,EMK,2.0,1.0,[4.0],1.0,2.0,1.0,11.0,7.0,1
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,1.0,2.0,1.0,[4.0],3.0,2.0,13.0,9.0,2
FIN,8835,Otto Toivanen,Matti Pentti,HSK,3.0,[4.0],3.0,2.0,1.0,4.0,17.0,13.0,3
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,[4.0],3.0,2.0,3.0,4.0,3.0,19.0,15.0,4
FIN,8405,Clarence Holmstrom,Eero Niemitalo,BSF,6.0,[10.0],10.0,5.0,5.0,5.0,41.0,31.0,5
FIN,8466,Hannu Pöyry,,VVK,8.0,5.0,7.0,6.0,7.0,[9.0],42.0,33.0,6
FIN,8912,Raimo Raita,Juha Nurmela,Vene 71,[10.0],8.0,5.0,9.0,6.0,6.0,44.0,34.0,7
FIN,8907,Mikko Laine,Ilkka Tuomi,TPS,5.0,7.0,[9.0],8.0,9.0,7.0,45.0,36.0,8
FIN,9212,Thomas Held,Timo Vennonen,BSS,7.0,9.0,6.0,[10.0],8.0,8.0,48.0,38.0,9
FIN,7922,Olle Martonen,Mikael Nylund,WSF,9.0,6.0,8.0,7.0,10.0,[13.0]DNS,53.0,40.0,10
FIN,9242,Kari Lehtonen,Jussi Mattila,HSK,[13.0]DNS,11.0,12.0,11.0,11.0,11.0,69.0,56.0,11
FIN,8659,Inka Näkkäläjärvi,Antti Hänninen,M,[13.0]DNF,12.0,11.0,12.0,12.0,10.0,70.0,57.0,12
