Sail,Number,Team,,Club,R1,R2,R3,R4,R5,R6,T,N,Nr
FIN,9069,Kaj Lindfors,Tuomas Laurila,ASS,[1],1,1,1,1,1,6,5,1
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,[2],2,2,2,2,2,12,10,2
FIN,8907,Mikko Laine,Juha Kataja,TPS,[5 DNS],5 DNS,5 DNS,3,3,3,24,19,3
FIN,8912,Raimo Raita,Juha Nurmela,Vene 71,[5 DNS],5 DNS,5 DNS,5 DNS,5 DNF,5 DNS,30,25,4
