Sail,Number,Team,,Club,R1,R2,R3,R4,R5,R6,T,N,Nr
FIN,9069,Rosemarie Hartman,Tuomas Laurila,M,3,1,[9 DNC],1,1,1,16,7,1
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,1,[3],1,3,3,2,13,10,2
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,2,2,2,2,2,[3],13,10,3
FIN,8741,Taru Karttunen,Sanna Haapa,HSS,[9 DNF],6,4,9 DNF,5,5,38,29,4
FIN,9212,Thomas Held,Timo Vennonen,BSS,[9 DNF],9 DNF,9 DNC,4,4,4,39,30,5
FIN,8466,Hannu Pöyry,,VVK,[9 DNF],4,3,9 DNF,9 DNC,9 DNC,43,34,6
FIN,8912,Raimo Raita,Juha Nurmela,Vene 71,[9 DNF],5,9 DNC,9 DNC,6,6,44,35,7
FIN,8659,Inka Näkkäläjärvi,Antti Hänninen,M,[9 DNF],9 DNF,9 DNC,9 DNC,9 DNC,9 DNC,54,45,8
