,Boot,Steuermann,Vorschoter,Club,Platzierungen,Punkte,Pl.
FRA,7940,Francis Doerenbecher,Philippe Wolff,CNS,1,1,1
FRA,8484,Philippe Blanchard,Charles Maire,ACAL,2,2,2
GER,8972,Ronald Roos,Morten Roos,SVWu,3,3,3
GER,8327,Dirk Frank,Stefan Kempf,SCS,4,4,4
GER,8473,Oliver Kraft,Frank Heimburger,SSCM,5,5,5
FRA,8870,Christian Silvestre,Aline Martin,CVB,6,6,6
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,7,7,7
SUI,8077,Catherine Houriet,Gilles Donze,,8,8,8
GER,8562,Wolfgang Seifert,Jochen Heydolph,SCLW,9,9,9
FRA,4479,Jean-Marc Paquotte,Alain Beltzung,,10,10,10
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,11,11,11
GER,7445,Stefan Müller,Pascal Roquette,WHW,12,12,12
GER,8450,Jürgen Feuerhake,Anne Nehrenberg,YCSb,13,13,13
GER,8424,Claus-Michael Lehr,Hans Jürgen Nehrenberg,SCNS,14,14,14
FRA,8362,Bernard Edel,Alain Beltzung,ACAL,15,15,15
BEL,8688,Bernard Blondy,Roger Chabaud,CVA,16,16,16
GER,8693,Rieke Lautenschläger,Florian Lautenschläger,DTYC,17,17,17
FRA,8348,Mathieu Ingrand,Marie Agnes Catrix,,19,19,18
