Nation,Boat,Helm,Crew,Club ,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,Netto,Place
GER,0,Movten Bogachi,Holger Jess,,3,1,1,5,1,DNF,,11,1
GBR,9012,Ian Pinnel,Carl Gibbon,HISC GBR,4,5,15,1,2,1,,13,2
GER,8958,Stefan Koechlin,Andréas Achterberg,SVS GER,2,2,6,2,3,DNF,,15,3
FRA,8908,Bertrand Loyal,Xavier Detappe,S R ROCHELAISES,1,47,2,3,6,10,,22,4
FRA,0,Philippe Boite,Fabrice Toupet,CVSQ,7,6,5,4,5,2,,22,5
GER,8651,Christian Kellner,Martin Schoeler,HSC GER,10,4,3,6,7,DNF,,30,6
GER,8901,Sophie Soellner,Wolfgang Stueckl,CYC GER,15,11,7,19,4,8,,45,7
IRL,0,Ewen Barry,Charles Dwyer,MBSC IRL,6,3,17,8,12,DNF,,46,8
GER,0,Frieder Achterberg,Arne Lanatowitz,DTYC GER,11,19,8,7,13,7,,46,9
FRA,0,René Betschen,Lionel Hollinger,CNB,5,8,11,25,14,9,,47,10
SUI,0,Cedric Bart,Ueli Marti,CNB/CVN SUI,12,10,9,20,15,5,,51,11
SUI,0,Caroline Jacot,Philippe Jacot,CVN SUI,8,7,12,12,16,15,,54,12
ITA,0,Enrico Ciferri,Gabriele Natali,U.S. QUARTO ITA,13,14,10,9,10,DNF,,56,13
GER,8956,Jan Forster,Marcus Neuss,SGAM GER,25,20,4,13,9,11,,57,14
FRA,0,Pierre Jean Gallo,Geraud Lafortune,CVSQ,14,18,23,11,17,4,,64,15
GBR,0,Matthew Hart,Terry Scutcher,SHOTLEY SAILING CLUB,16,9,21,17,8,14,,64,16
GER,0,Andréas Jungclaus,Axel Priegann,HAMBURGER SEGEL CLUB,9,12,19,29,20,12,,72,17
GER,0,Sophie Heyer,Sebastian Salein,JSC GER,24,16,13,22,11,13,,75,18
FRA,8844,Xavier Broise,Gilles Carvallo,CERGY VOILE 95,17,15,14,15,24,17,,78,19
SUI,8613,Gilles Petermann,Laurent Grob,BT SUI,21,DNC,26,10,21,3,,81,20
GER,0,Nicola Birkner,Angela Stenger,VSAW GER,22,21,18,23,25,6,,90,21
FIN,0,Jari Hamström,Tuomas Laurila,KUOPS FIN,19,13,16,26,19,DNF,,93,22
GER,0,Alexander Holzapfel,Stefan Worm,PSVK GER,26,23,22,18,22,20,,105,23
FRA,8900,Serge Gubri,Thibault Di Pede,C V SEINE-PORT,28,33,38,16,49,19,,134,24
FRA,8515,Florian Faucheux,Nicolas Croce,C N CANET PERPIGNAN,32,30,24,21,31,DNF,,138,25
FRA,8716,Aline Martin,Matthieu Gougeon,C V SEINE-PORT,45,29,41,24,29,16,,139,26
GER,0,Jurgen Waldheim,Martin Maal,PYC/SVG GER,31,24,25,32,30,DNF,,142,27
FRA,8870,Christian Silvestre,Christian Vallaud,CVSQ,18,28,39,30,28,DNF,,143,28
BEL,8880,Geert De Pauw,Koen Jourquin,GER,29,44,45,31,18,DNF,,167,29
FIN,0,Jukka Nieminen,Kari Lehtonen,SP FIN,39,25,36,33,34,DNF,,167,30
FRA,0,Gabriel Le Duc,Cyril Thibaud,S R ROCHELAISES,43,27,35,28,35,DNF,,168,31
FRA,0,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE,48,40,43,54,27,18,,176,32
GER,0,Jan Sell,Wiebke Gewinn,SVWS GER,38,31,29,36,42,DNF,,176,33
LUX,0,Pierre Kieffer,Jean-Paul Tousch,YCL LUX,44,26,30,39,39,DNF,,178,34
SUI,0,Lorenz Nydegger,Martin Nydegger,SCB SUI,33,37,28,45,36,DNF,,179,35
GER,0,Olivier Kraft,Frank Heimburger,SSCM GER,27,34,33,48,38,DNF,,180,36
GER,8672,Karsten Contag,Guido Von Walter,SCLW GER,36,17,20,38,DNF,DNF,,181,37
GBR,8955,Simon Lake,Alex Barry,GWSC GBR,20,22,37,41,DNF,DNF,,190,38
FRA,0,Mathieu Ingrand,Yann Plathier,YC Grenoble Chara.,34,35,40,35,51,DNF,,195,39
FRA,0,De Moulliac Benoit Valleteau,Guillaume Thery,S N BANDOL,54,32,44,43,26,DNF,,199,40
FRA,0,Frederic Roucayrol,Loic Bleuez,Club Var Mer,37,42,42,37,44,DNF,,202,41
FRA,0,Laurent Nevo,Fabrice Bouton,,30,DNC,DNC,14,32,DNF,,216,42
FRA,0,Nicolas Martin,Julien Lafortune,C V SEINE-PORT,47,46,27,55,45,DNF,,220,43
FRA,0,Aurelie Plouviet,Jean-Marc Jungmann,C N Saint-Raphael,41,43,DNC,27,40,DNF,,221,44
FRA,0,Dirk Frank,Stefan Kempf,WIND SURF CLUB SAAR,DNF,38,34,42,37,DNF,,221,45
GBR,8907,Jim Berry,David Barnes,PORTISHEAD YSC GBR,42,36,DNC,56,23,DNF,,227,46
ITA,0,Marco Giraldi,Paolo Corbellini,UVM ITA,DNF,DNC,31,34,33,DNF,,238,47
FRA,0,Philippe Markt,Delphine Markt,Club Var Mer,46,50,49,49,48,DNF,,242,48
FRA,0,Bernard Peiffert,Didier Peiffert,B N MESSEIN,40,51,50,51,52,DNF,,244,49
SUI,8077,Catherine Houriet,Gil Donze,YCG SUI,DNF,39,47,46,43,DNF,,245,50
FRA,0,Pascal Viaud,Bertrand Lapeyre,S R ROCHELAISES,35,45,46,D+D,50,DNF,,246,51
FRA,0,Alain Tosello,Roberto Loce,CN MANDELIEU,57,53,48,50,46,DNF,,254,52
FRA,0,Veronique Brenet,Jean-Pierre Peter,A C D'ALSACE LORRAIN,DNF,DNC,32,47,41,DNF,,260,53
FRA,0,Denis David,Gilles Casanova,Club Var Mer,50,48,53,57,56,DNF,,264,54
FRA,0,Lawrence Banahan,Nicolas Claustres,C N Saint-Raphael,53,52,54,60,54,DNF,,273,55
FRA,0,Yves Niddam,Thierry Gresle,Y C BEAULIEU,51,41,51,62,DNF,DNF,,275,56
FRA,0,Michel Boiry,Jean Philippe Gastaud,CV PARIS,DNF,49,52,59,47,DNF,,277,57
GER,0,Floriian Lautenschläger,Benedikt Schulte,DYTC GER,52,DNC,DNC,44,53,DNF,,289,58
FRA,0,Claude Gachet,Kleber Valery,YC Grenoble Chara.,49,DNC,DNC,40,DNF,DNF,,299,59
GER,0,Claus-Michael Lehr,Christine Schaal-Lehr,SCNORDSAAR GER,58,54,DNC,61,57,DNF,,300,60
GER,0,Volker Niedek,Stefan Heising,BSV GER,23,DNC,DNC,DNF,DNF,DNF,,303,61
FRA,0,Eric Verplanken,Louis Gibert,Club Var Mer,DNF,DNC,DNC,58,55,DNF,,323,62
FRA,0,Alexander Von Mertens,Pia Wiesbaner,BSV 07 GER,DNF,DNC,DNC,52,DNF,DNF,,332,63
FRA,0,Dominique Rouanne,Virginie Laurent,Y C CAVALAIRE,DNF,DNC,DNC,53,DNF,DNF,,333,64
GER,0,Warsten Stuppel,Ute Stempel,HSC GER,55,DNC,DNC,DNF,DNF,DNF,,335,65
FRA,0,Vincent Dewaele,Kevin Dewaele,C N FRONTIGNAN,56,DNC,DNC,DNF,DNF,DNF,,336,66
