,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
GER,8661,Diethardt Freye,Lars Dehne,BSV,6,2,1,2,,1
GER,8609,Alexander Holzapfel,Stefan Worm,PSVK,3,5,2,1,,2
DEN,8664,Franziska Unkelbach,Stefan Heising,KYC,DNC,3,3,3,,3
GER,8478,Malte Christophersen,Sebastian Salein,KAR,2,4,4,4,,4
GER,8720,Dirk Filimonow,Lars Stöckmann,BSV,1,1,DNC,DNC,,5
GER,8674,Nick Dose,Andreas Poppe,,8,6,7,5,,6
GER,8333,Torsten Trümper,Carsten Seeger,SCS 78,7,9,5,6,,7
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,5,7,6,7,,8
GER,8538,Lars Metzner,Enno Thaeter,SVN,4,8,DNC,DNC,,9
