Numer na żaglu,Imię i nazwisko sternika,Imię i nazwisko załoganta,Przynależność klubowa,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Suma punktów:,Miejsce w regatach
POL 8802,Mateusz Jura,Bartosz Chroł,AZS SGH,1,6,3,2,12,1
POL 7942,Mieczysław Szwed,Piotr Kosobucki,prywatny,2,5,2,3,12,2
POL 9119,Bartosz Makała,Łukasz Skrzycki,YK Stal,14,1,1,1,17,3
POL 8358,Karol Milewski,Bartosz Milewski,prywatny,14,3,4,4,25,4
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal,6,11,7,5,29,5
POL 5350,Adam Kuczyński,Andrzej Borowiak,ZKŻ Zbąszyń,4,8,6,14,32,6
POL 8736,Jarosław Grabowski,Michał Olko,prywatny,3,2,14,14,33,7
POL 8665,Marcin Panek,Przemysław Rzepecki,prywatny,5,10,5,14,34,8
POL 8129,Konrad Plewa,Jerzy Plewa,ZKŻ Zbąszyń,8,7,14,14,43,9
G 5703,Łukasz Paszko,Michał Marciniak,prywatny,7,9,14,14,44,10
POL 8208,Piotr Rzepecki,Paweł Prus,YKP Warszawa,14,4,14,14,46,11
POL 8416,Przemek Zagórski,Piotr Juckiewicz,YK Stal,14,14,14,14,56,13
POL 8751,Krzysztof Osiak,Mateusz Wujec,prywatny,14,14,14,14,56,13
