#,helm,crew,club,R1,R2,R3,R4,R5,R6,sum,place
POL 9119,Bartosz Makała,Łukasz Skrzycki,YK Stal Gdynia,1,*5,1,1,3,1,7,1
POL 8416,Przemek Zagórski,Piotr Juckiewicz,YK Stal Gdynia,2,*7,5,3,1,3,14,2
POL 8802,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,*4,3,3,4,2,2,14,3
POL 8736,Jarosław Grabowski,Michał Olko,YK Stal Gdynia,*RAF,4,3,2,4,5,18,4
POL 8451,Mariusz Ambroziak,Paweł Strzelecki,-,11,2,*12,6,6,4,29,5
POL 9070,Dariusz Rzadkowski,Krzysztof Rzadkowski,ZKŻ Zbąszyń,6,1,7,10,8,11*,32,6
POL 9015,Łukasz Paszko,Igor Graczyk,AZS UEP Poznań,8,8,2,7,10*,7,32,7
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,5,6,*13,9,7,9,36,8
POL 7942,Mieczysław Szwed,Piotr Żółtowski,Centrum Żeglarskie Szczecin,7,9,10,OCS*,5,8,39,9
POL 5350,Adam Kuczyński,Andrzej Borowiak,ZKŻ Zbąszyń,3,*12,9,8,11,10,41,10
POL 8665,Marcin Panek,Przemysław Rzepecki,prywatny,*DNS,10,6,5,9,12,42,11
POL 8208,Jan Domański,Maciej Jamiołowski,"MKS ""DWÓJKA"" Warszawa",*DNS,14,8,12,13,6,53,12
POL 8751,Krzysztof Osiak,Andrzej Osiak,PSK 505,10,13,14,11,*DNF,13,61,13
POL 8358,Karol Milewski,Paweł Prus,J.C. Kamień Pomorski,*DNS,11,11,OCS,12,DNF,66,14
POL 8551,Andrzej Kubiak,Marek Milewski,prywatny,9,15,15,13,*DNF,DNF,68,15
POL 8251,Eugeniusz Kasprzyk,Marek Masłowski,Jacht Klub Nisko,*DNF,16,16,DNF,DNF,DNF,80,16
