#,sternika,zaloganta,klub,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Suma,Miejsce
POL 9119,Bartosz Makała,Łukasz Skrzycki,YK Stal Gdynia,3*,2,2,1,1,1,7,1
POL 8736,Jarosław Grabowski,Michał Olko,YK Stal Gdynia,1,1,3*,2,2,2,8,2
POL 8416,Przemek Zagórski,Piotr Juckiewicz,YK Stal Gdynia,2,3,1,4*,4,3,13,3
POL 7942,Mieczysław Szwed,Piotr Kosobucki,Centrum Żeglarskie,4,6*,5,3,3,6,21,4
POL 8208,Piotr Rzepecki,Paweł Prus,YKP Warszawa,5,5,4,8,12*,4,26,5
POL 5350,Adam Kuczyński,AndrzeJ Borowiak,LKL ZDZSZyn,7,10*,7,6,5,8,33,6
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,9,7,9,5,8,5,34,7
POL 8217,Jakub Kręciwilk,Wojciech Denderski,1KKP Kamen Pomorski,8,4,6,DNS*,7,11,36,8
POL 8451,Dariusz Rzadkowski,Krzysztof Rzadkowski,2/C2 2b4szyg1,6,9,8,7,1*0,10,40,9
POL 8665,Marcin Panek,Przemysław Rzepecki,prywatny,10,12*,11,9,6,7,43,10
POL 8129,Konrad Plewa,Łukasz Paszko,LKL 2645Zyn,13,8,10,10,11,DNS*,52,11
POL 8490,Paweł Kluczyński,Igor Graczyk,prywatny,DNF*,15,12,11,9,9,56,12
POL 8057,Piotr Rzezak,Zbigniew Doch,prywatny,11,11,DNF*,DNF,13,12,64,13
POL 6611,Robert Zatorski,Kazimierz Pelasik,J.C. Kamień Pomorski,DNF*,16,14,12,14,13,69,14
POL 8422,Adam Domżalski,Joanna Jakubowska,prywatny,14,14,13,DNF*,DNF,DNS,75,15
POL 4752,Romuald Szukała,Jerzy Plewa,2K2 2b4szył,12,13,DNF*,DNF,DNF,DNF,76,16
